Chris Paul,PG,44.38,9900,5.1,43.5,47.35,10.13,39,35,37,1.25,1.24,1.035,LAC,@ MIN,50.45,50.08,44.38,59.57
Stephen Curry,PG,41.65,9800,4.87,46.64,46.55,10.19,33,33,33,1.42,1.4,1.035,GSW,@ BKN,47.76,47.24,41.65,56.94
DeAndre Jordan,C,37.79,8900,5.03,36.88,46.55,11.6,40,34,36,1.08,1.36,1.035,LAC,@ MIN,44.75,56.33,37.79,55.19
Eric Bledsoe,SG,33.99,8600,4.84,36.93,42.85,12.79,37,34,37,1.11,1.22,1.015,PHO,@ MIA,41.67,45.7,33.99,53.18
Hassan Whiteside,C,31.79,8200,5.08,28.88,39,16.4,30,21,28,1.36,1.24,1.021,MIA,PHO,41.63,38.09,31.79,56.39
Ricky Rubio,PG,34.8,7600,5.39,34.33,41.65,10.3,36,29,33,1.15,1.13,0.987,MIN,LAC,40.98,40.06,34.8,50.25
Tyreke Evans,PG,33.76,7700,5.19,35.68,38.75,10.34,36,35,34,1.04,1.02,1.065,NOR,@ DAL,39.96,39.15,33.76,49.26
Monta Ellis,SG,31.49,7000,5.42,32.72,27.85,10.7,37,34,35,1,0.82,1.021,DAL,NOR,37.91,31.01,31.49,47.54
Klay Thompson,SG,31.3,7700,4.91,35.4,37.15,10.79,33,33,34,1.11,0.98,1.035,GSW,@ BKN,37.78,33.33,31.3,47.49
Brandon Knight,PG,30.46,6000,6.1,33.11,21.75,10.2,34,33,34,1.06,0.84,1.015,PHO,@ MIA,36.58,29.01,30.46,45.76
Dwyane Wade,SG,29.91,6900,5.16,34.8,30.55,9.54,31,32,26,1.13,1.01,1.021,MIA,PHO,35.64,32.03,29.91,44.22
Kevin Martin,SG,28.31,6400,5.48,30.62,30.5,11.3,37,33,35,0.97,0.98,0.987,MIN,LAC,35.09,35.52,28.31,45.26
DeMar DeRozan,SG,28.14,7000,4.93,29.89,22.8,10.59,36,33,33,0.94,0.89,1.021,TOR,@ PHI,34.5,32.87,28.14,44.03
Dirk Nowitzki,PF,28.33,6200,5.3,30.31,25.7,7.55,31,30,28,1.05,0.9,1.021,DAL,NOR,32.85,27.97,28.33,39.65
Deron Williams,PG,25.87,6600,4.94,28.74,35.35,11.25,34,31,32,0.94,0.86,1.012,BKN,GSW,32.62,29.87,25.87,42.74
Goran Dragic,PG,26.29,6500,4.99,28.56,28.05,10.21,36,33,36,0.88,0.81,1.021,MIA,PHO,32.42,29.69,26.29,41.61
Markieff Morris,PF,25.79,6300,5.08,28.77,28,10.38,33,31,34,0.96,0.99,1.015,PHO,@ MIA,32.03,33.07,25.79,41.37
Luol Deng,SF,26.08,6000,5.32,26.22,25.3,9.78,38,33,36,0.83,0.91,1.021,MIA,PHO,31.95,34.96,26.08,40.75
Joe Johnson,SG,25.94,6100,5.18,29.16,32.95,9.42,37,36,37,0.84,0.9,1.012,BKN,GSW,31.59,33.58,25.94,40.07
Greivis Vasquez,PG,26.1,4200,7.48,19.5,19.2,8.86,34,23,20,0.9,1.03,1.021,TOR,@ PHI,31.41,35.75,26.1,39.38
Draymond Green,PF,24.79,6800,4.61,33.21,35.2,10.94,29,32,34,1.04,0.94,1.035,GSW,@ BKN,31.35,28.29,24.79,41.2
Lou Williams,SG,24.78,4300,7.24,23.31,26.8,10.59,31,25,24,0.98,1.06,1.021,TOR,@ PHI,31.14,33.5,24.78,40.67
Brook Lopez,C,23.17,5900,5.18,28.11,29.95,12.34,29,28,28,1.06,1.07,1.012,BKN,GSW,30.58,30.86,23.17,41.69
James Johnson,SF,23.91,4700,6.45,19.25,27.3,10.71,31,21,27,0.96,1,1.021,TOR,@ PHI,30.33,31.49,23.91,39.98
Rajon Rondo,PG,21.47,5800,5.12,30.76,16.6,13.66,28,30,19,1.05,0.67,1.021,DAL,NOR,29.67,18.81,21.47,41.97
Andrew Wiggins,SF,23,6400,4.62,26.74,31.35,10.91,38,35,38,0.8,0.81,0.987,MIN,LAC,29.55,30.13,23,39.37
Nerlens Noel,PF,23.67,6200,4.76,26.61,33.45,9.73,33,30,32,0.89,1.06,1,PHI,TOR,29.5,35.13,23.67,38.26
Alex Len,C,23.7,5600,5.25,19.29,28.05,9.49,31,21,32,0.93,0.97,1.015,PHO,@ MIA,29.4,30.53,23.7,37.94
Jamal Crawford,SG,24.44,5500,5.32,25.33,27.65,8.06,29,27,29,0.98,1.15,1.035,LAC,@ MIN,29.27,34.53,24.44,36.53
Gorgui Dieng,C,22.13,5100,5.56,27.79,24.95,10.36,29,29,25,1,1.05,0.987,MIN,LAC,28.35,29.98,22.13,37.68
Jonas Valanciunas,C,21.92,5200,5.29,26.41,28.5,9.34,26,26,25,1.02,1.07,1.021,TOR,@ PHI,27.52,28.64,21.92,35.93
Thaddeus Young,PF,22.43,5200,5.27,27.93,22.2,8.34,30,33,27,0.89,0.99,1.012,BKN,GSW,27.43,30.39,22.43,34.93
Eric Gordon,SG,21.58,6000,4.56,24.93,31.55,9.65,35,33,35,0.77,0.78,1.012,NOR,@ DAL,27.37,27.5,21.58,36.06
Nikola Pekovic,C,21.47,5500,4.96,26.22,29.1,9.67,28,28,33,0.97,1.08,0.987,MIN,LAC,27.27,30.22,21.47,35.97
JJ Redick,SG,22.48,4500,6.03,21.23,24.3,7.75,35,29,34,0.75,0.76,1.035,LAC,@ MIN,27.13,27.67,22.48,34.11
Marreese Speights,PF,20.4,3200,8.21,19.78,10.25,9.8,21,17,10,1.2,1.16,1.035,GSW,@ BKN,26.28,25.4,20.4,35.09
Robert Covington,PF,19.54,5600,4.68,25.35,25.65,11.11,28,28,29,0.94,1,1,PHI,TOR,26.21,28.09,19.54,36.21
Jason Richardson,SG,22.49,3600,7.15,21.45,21.45,5.43,25,22,22,1.03,1.03,1,PHI,TOR,25.75,25.75,22.49,30.63
Mario Chalmers,PG,19.2,4500,5.72,23.52,20.75,10.87,32,31,33,0.79,0.85,1.021,MIA,PHO,25.72,27.75,19.2,35.5
PJ Tucker,SF,20.75,5500,4.66,21.87,28.65,8.14,32,29,31,0.79,1.01,1.015,PHO,@ MIA,25.64,32.8,20.75,32.97
Jarrett Jack,PG,18.28,5500,4.61,25.76,23.2,11.81,28,31,32,0.88,0.86,1.012,BKN,GSW,25.37,24.73,18.28,36
Spencer Hawes,C,20.5,3600,7,16,23.7,7.85,27,18,27,0.9,0.75,1.035,LAC,@ MIN,25.21,21.05,20.5,32.27
Omer Asik,C,20.31,4900,5.09,23.02,30.35,7.75,27,26,28,0.9,0.93,1.025,NOR,@ DAL,24.96,25.74,20.31,31.93
David Lee,PF,19.78,4200,5.9,21.2,19.25,8.35,20,19,18,1.19,1.27,1.035,GSW,@ BKN,24.78,26.46,19.78,32.3
Alexis Ajinca,C,17.65,4900,4.96,14.26,26.1,11.04,22,13,19,1.11,1.11,1.012,NOR,@ DAL,24.28,24.18,17.65,34.22
Harrison Barnes,SF,19.35,4400,5.45,21.76,22,7.69,30,29,28,0.77,0.78,1.035,GSW,@ BKN,23.96,24.28,19.35,30.88
Patrick Patterson,PF,18.87,3900,6.03,20.82,17.45,7.77,28,27,26,0.83,0.79,1.021,TOR,@ PHI,23.53,22.55,18.87,30.53
Richard Jefferson,SF,18.39,3300,7.04,11.04,17.1,8.06,30,16,21,0.75,0.75,1.021,DAL,NOR,23.22,23.25,18.39,30.47
Ish Smith,PG,19.11,3000,7.68,5.76,15.5,6.58,24,6,10,0.96,0.89,1,PHI,TOR,23.05,21.39,19.11,28.97
Al-Farouq Aminu,SF,16.71,4800,4.8,14.92,23.2,10.56,25,17,25,0.92,0.84,1.021,DAL,NOR,23.05,20.94,16.71,32.55
Andre Iguodala,SF,18.3,3900,5.71,18.84,26,6.63,30,27,29,0.73,0.88,1.035,GSW,@ BKN,22.28,26.74,18.3,28.25
Luc Mbah a Moute,SF,17.24,4300,5.12,20.98,20.85,7.97,29,29,31,0.76,0.79,1,PHI,TOR,22.02,22.97,17.24,29.19
Henry Walker,SG,17.19,3600,5.91,19.5,19.5,6.79,28,27,27,0.75,0.75,1.021,MIA,PHO,21.26,21.26,17.19,27.37
Devin Harris,PG,15.95,4100,5.17,19.02,26,8.75,24,23,23,0.88,1.12,1.021,DAL,NOR,21.2,27.1,15.95,29.07
Amar'e Stoudemire,PF,15.26,3500,5.96,23.6,16.15,9.35,20,24,16,1.05,1.18,1.021,DAL,NOR,20.87,23.46,15.26,29.29
Thomas Robinson,PF,15.51,3000,6.92,11.25,13.6,8.75,22,12,12,0.94,0.92,1,PHI,TOR,20.76,20.15,15.51,28.63
Marcus Morris,PF,14.73,4000,5.08,19.37,23,9.3,23,23,24,0.88,0.93,1.015,PHO,@ MIA,20.31,21.46,14.73,28.68
JJ Barea,PG,15.19,4100,4.93,16.01,15.9,8.37,20,18,17,0.98,1.01,1.021,DAL,NOR,20.22,21.03,15.19,27.75
Kevin Garnett,PF,14.9,3400,5.82,19.95,19.5,8.16,20,20,16,1.03,1.27,0.987,MIN,LAC,19.79,24.43,14.9,27.14
Quincy Pondexter,SG,15.18,3600,5.48,11.88,17.65,7.56,33,21,28,0.59,0.64,1,NOR,@ DAL,19.71,21.3,15.18,26.52
Dante Cunningham,SF,15.26,3400,5.79,13.88,24.5,7.4,35,25,26,0.56,0.65,1.012,NOR,@ DAL,19.7,23.17,15.26,26.35
Isaiah Canaan,PG,12.52,3900,4.95,12.18,18.8,11.32,24,16,20,0.79,0.69,1,PHI,TOR,19.31,16.93,12.52,29.5
Alan Anderson,SG,14.38,3200,5.96,13.98,21.4,7.84,30,24,32,0.63,0.69,1.012,BKN,GSW,19.08,21.1,14.38,26.14
Mason Plumlee,C,11.14,4300,4.23,23.35,20.65,11.73,17,23,21,1.03,1.07,1.012,BKN,GSW,18.18,18.84,11.14,28.74
Amir Johnson,PF,12.55,4000,4.45,21.33,16.9,8.76,21,27,27,0.84,0.73,1.021,TOR,@ PHI,17.81,15.53,12.55,25.7
Jerami Grant,SF,13.35,3000,5.89,14.36,19.05,7.17,22,19,22,0.8,0.9,1,PHI,TOR,17.66,19.76,13.35,24.11
Markel Brown,SG,11.07,4000,4.31,8.39,24.15,10.3,20,9,21,0.85,0.88,1.012,BKN,GSW,17.25,17.74,11.07,26.52
Glen Davis,PF,13.51,3000,5.73,8.24,11.75,6.15,19,11,16,0.87,1.09,1.035,LAC,@ MIN,17.2,21.34,13.51,22.74
Norris Cole,PG,12.57,3300,5.2,16.55,19.7,7.64,24,25,26,0.72,0.93,1,NOR,@ DAL,17.15,22.03,12.57,24.03
Charlie Villanueva,PF,10.92,3000,5.55,11.27,12.75,9.53,14,10,14,1.18,1.01,1.021,DAL,NOR,16.64,14.22,10.92,25.22
Gary Neal,SG,12.01,3200,5.16,15.77,16.15,7.48,22,22,20,0.77,0.63,0.987,MIN,LAC,16.5,13.52,12.01,23.24
Gerald Green,SG,10.53,3400,4.79,19.6,15.55,9.57,16,20,18,1.02,1.01,1.015,PHO,@ MIA,16.28,16.15,10.53,24.89
Leandro Barbosa,PG,12.05,3000,5.36,11.36,8.85,6.71,17,13,16,0.93,0.75,1.035,GSW,@ BKN,16.07,12.98,12.05,22.11
Terrence Ross,SF,10.96,3000,5.32,17.29,13.05,8.33,22,25,19,0.73,0.57,1.021,TOR,@ PHI,15.96,12.47,10.96,23.46
Brandan Wright,PF,11.41,3000,5.2,15.42,15.75,7,16,17,17,0.96,1.02,1.015,PHO,@ MIA,15.61,16.55,11.41,21.92
Adreian Payne,PF,10.71,3500,4.42,10.16,13.85,7.94,19,13,13,0.81,0.87,0.987,MIN,LAC,15.47,16.56,10.71,22.62
Hollis Thompson,SF,10.14,3300,4.64,16.21,15.35,8.64,22,25,24,0.69,0.67,1,PHI,TOR,15.32,14.93,10.14,23.1
Luke Babbitt,SF,9.93,3300,4.43,8.57,17.6,7.84,22,14,20,0.68,1.02,1,NOR,@ DAL,14.63,21.84,9.93,21.69
Shaun Livingston,PG,9.59,3500,3.92,13.36,16.35,6.9,16,17,17,0.82,0.84,1.035,GSW,@ BKN,13.73,14.04,9.59,19.94
Bernard James,PF,6.92,3300,4.1,14.88,14.88,11,13,19,19,1.03,1.03,1.021,DAL,NOR,13.51,13.51,6.92,23.41
Archie Goodwin,SG,8.94,3000,4.46,8.42,13.65,7.41,12,9,12,1.06,1.1,1.015,PHO,@ MIA,13.39,13.88,8.94,20.06
Austin Rivers,PG,7.55,3000,4.2,13.75,13.8,8.42,17,21,18,0.72,0.84,1.035,LAC,@ MIN,12.6,14.82,7.55,20.17
Bojan Bogdanovic,SG,3.93,3000,3.13,13.33,15.3,9.12,15,23,26,0.63,0.67,1.012,BKN,GSW,9.4,10.02,3.93,17.6
CJ Wilcox,SG,6.28,3000,2.91,4.21,4,4.1,9,6,8,0.91,0.86,1.035,LAC,@ MIN,8.74,8.28,6.28,12.43
Udonis Haslem,PF,4.76,3000,2.85,9.58,12.1,6.34,11,14,18,0.77,0.84,1.021,MIA,PHO,8.56,9.35,4.76,14.27
Henry Sims,C,4.03,3200,2.67,17.88,12.3,7.51,9,20,14,0.95,1.11,1,PHI,TOR,8.54,9.96,4.03,15.3
Zach LaVine,PG,2.24,3000,2.8,15.8,13.35,10.26,11,21,13,0.79,0.77,0.987,MIN,LAC,8.39,8.26,2.24,17.63
Festus Ezeli,C,4.39,3000,2.68,9.33,10.3,6.08,8,11,10,0.95,1.21,1.035,GSW,@ BKN,8.04,10.26,4.39,13.52
Hedo Turkoglu,SF,4.49,3000,2.44,6.1,6,4.72,9,9,9,0.75,0.64,1.035,LAC,@ MIN,7.32,6.26,4.49,11.57
Jimmer Fredette,PG,2.96,3000,2.2,7.03,6.6,6.08,9,11,11,0.77,0.79,1,NOR,@ DAL,6.61,6.8,2.96,12.08
Earl Barron,C,5.21,3000,2.08,4,4,1.7,7,6,6,0.94,0.94,1.015,PHO,@ MIA,6.23,6.23,5.21,7.76
Tyler Hansbrough,PF,2.76,3000,1.99,8.23,7,5.38,8,13,8,0.71,0.66,1.021,TOR,@ PHI,5.98,5.52,2.76,10.82
Justin Holiday,SG,1.08,3000,1.95,8.23,3.6,7.95,6,10,3,0.91,0.87,1.035,GSW,@ BKN,5.85,5.59,1.08,13.01
Shabazz Napier,PG,0.57,3000,1.8,13.41,12.7,8.07,8,21,20,0.71,0.88,1.021,MIA,PHO,5.4,6.72,0.57,12.66
