Alex Cobb,SP,15953
Matt Garza,SP,13406
Tim Lincecum,SP,13388
Ivan Nova,SP,12307
Dillon Gee,SP,12233
David Hale,SP,11932
Zach McAllister,SP,11340
Freddie Freeman,1B,10472
Hanley Ramirez,SS,10472
Miguel Gonzalez,SP,10466
Andrew Albers,SP,9989
David Wright,3B,9924
Mike Trout,CF,9846
Alex Rios,RF,9661
Chase Utley,2B,9492
Adrian Beltre,3B,9409
Jeremy Guthrie,SP,9326
Edinson Volquez,SP,9144
Chris Davis,1B,9074
Elvis Andrus,SS,8982
Ian Kinsler,2B,8956
Mark Buehrle,SP,8920
Daniel Murphy,2B,8665
Adam Lind,1B,8657
Robinson Cano,2B,8646
Yasiel Puig,RF,8523
Eric Hosmer,1B,8498
Khris Davis,LF,8274
Adam Jones,CF,8265
Alex Gordon,LF,8236
Domonic Brown,LF,8154
Michael Brantley,LF,8132
Brian McCann,C,8076
Angel Pagan,CF,8062
Kole Calhoun,RF,8042
Aramis Ramirez,3B,8005
Adrian Gonzalez,1B,7983
Norichika Aoki,RF,7962
Andrelton Simmons,SS,7960
Craig Gentry,CF,7947
Jonathan Lucroy,C,7921
Hunter Pence,RF,7877
Evan Longoria,3B,7865
Leonys Martin,CF,7852
Rajai Davis,RF,7819
Danny Valencia,3B,7817
Ryan Raburn,2B,7810
Jason Heyward,RF,7797
Desmond Jennings,CF,7776
Avisail Garcia,CF,7764
Jean Segura,SS,7736
Jose Reyes,SS,7713
Matt Kemp,CF,7709
Wil Myers,RF,7703
Alejandro De Aza,CF,7695
Mike Aviles,SS,7625
Jarrod Dyson,CF,7598
Justin Upton,LF,7573
Tony Abreu,2B,7568
Carlos Santana,C,7546
Justin Maxwell,CF,7531
David DeJesus,CF,7503
Josh Hamilton,RF,7498
Asdrubal Cabrera,SS,7498
Ryan Doumit,C,7479
Josmil Pinto,C,7447
Carlos Gomez,CF,7424
Eric Young,LF,7373
Alfonso Soriano,LF,7369
Jimmy Rollins,SS,7367
Buster Posey,C,7347
Jerome Williams,SP,7304
Caleb Gindl,LF,7243
Michael Bourn,CF,7207
Chris Getz,2B,7188
David Lough,RF,7127
Brian Roberts,2B,7062
Salvador Perez,C,7055
Brett Hayes,C,7031
Jeff Baker,3B,7011
Darin Ruf,RF,7004
Mitch Moreland,1B,6979
Marcus Semien,SS,6958
Yan Gomes,C,6952
Dan Johnson,1B,6947
Evan Gattis,C,6869
Andre Rienzo,SP,6850
Chris Johnson,3B,6847
Marco Scutaro,2B,6844
Lance Berkman,1B,6843
Matt Wieters,C,6818
Luke Scott,DH,6818
Jordan Schafer,CF,6817
Brian Dozier,2B,6783
Jason Giambi,DH,6774
Jeff Keppinger,3B,6760
Carl Crawford,LF,6758
Alexi Casilla,2B,6751
Emilio Bonifacio,LF,6729
Tyler Cloyd,SP,6728
Brett Pill,1B,6725
A.J. Pierzynski,C,6719
Howie Kendrick,2B,6713
Andre Ethier,RF,6709
Alexei Ramirez,SS,6692
Curtis Granderson,CF,6665
Billy Butler,DH,6657
Conor Gillaspie,3B,6642
Nick Swisher,1B,6593
David Murphy,LF,6563
Ehire Adrianza,SS,6554
Jason Kipnis,2B,6529
Josh Satin,1B,6500
Anthony Recker,C,6492
Lucas Duda,LF,6487
Nick Markakis,RF,6481
Gregor Blanco,LF,6406
Brandon Belt,1B,6396
J.J. Hardy,SS,6386
Ben Zobrist,2B,6380
Mark Trumbo,1B,6330
Oswaldo Arcia,LF,6282
Matt Joyce,RF,6276
Chris Dickerson,RF,6261
James Loney,1B,6242
Drew Stubbs,RF,6237
Michael Young,3B,6204
Dayan Viciedo,LF,6177
Pablo Sandoval,3B,6161
Geovany Soto,C,6147
Alcides Escobar,SS,6134
George Kottaras,C,6129
Dee Gordon,SS,6079
Alex Rodriguez,3B,6036
Wilfredo Tovar,SS,5987
Irving Falu,2B,5945
Jonathan Schoop,2B,5934
Juan Uribe,3B,5934
Dan Uggla,2B,5901
Scooter Gennett,2B,5875
J.B. Shuck,LF,5818
Sean Halton,1B,5733
Gordon Beckham,2B,5729
A.J. Ellis,C,5719
Lars Anderson,1B,5715
Jordan Danks,CF,5661
Cody Asche,3B,5648
Steve Pearce,LF,5630
Carlos Ruiz,C,5555
Lorenzo Cain,CF,5537
Pedro Ciriaco,3B,5526
Paul Konerko,1B,5522
Johnny Giavotella,2B,5509
Chris Snyder,C,5481
Sean Rodriguez,LF,5477
Adam Rosales,SS,5451
Nate McLouth,LF,5418
Erick Aybar,SS,5414
Hak-Ju Lee,SS,5410
Roger Bernadina,LF,5359
Munenori Kawasaki,SS,5352
Adam Dunn,1B,5342
Brett Gardner,CF,5339
Jurickson Profar,2B,5324
Alex Castellanos,LF,5260
Eduardo Nunez,SS,5245
Cesar Hernandez,2B,5238
John Mayberry,RF,5228
Engel Beltre,CF,5191
Juan Lagares,CF,5140
Doug Bernier,2B,5123
Tim Beckham,SS,5083
Brett Lawrie,3B,5062
Justin Turner,1B,5062
Kevin Frandsen,2B,5047
Mark DeRosa,3B,5016
Jim Adduci,RF,5008
Elliot Johnson,2B,4970
Mike Baxter,RF,4967
Yuniesky Betancourt,3B,4910
Zach Lutz,1B,4901
Johnny Hellweg,SP,4900
Gerald Laird,C,4897
Zoilo Almonte,LF,4881
Jose Lobaton,C,4859
Brandon Crawford,SS,4856
Vernon Wells,LF,4850
Joaquin Arias,3B,4838
Andrew Brown,RF,4828
Sam Fuld,LF,4818
Travis d'Arnaud,C,4817
Anthony Gose,LF,4787
Juan Centeno,C,4765
Freddy Galvis,2B,4735
Ryan Flaherty,2B,4728
Hector Sanchez,C,4716
Darin Mastroianni,RF,4702
Michael Morse,RF,4697
Mike Moustakas,3B,4677
Ichiro Suzuki,RF,4662
Trevor Plouffe,3B,4659
Ruben Tejada,SS,4658
Logan Schafer,LF,4614
Yunel Escobar,SS,4586
Erik Kratz,C,4583
Skip Schumaker,2B,4518
Robinson Chirinos,C,4512
Collin Cowgill,CF,4506
Mark Ellis,2B,4496
Jose Constanza,LF,4492
Scott Van Slyke,LF,4481
Lonnie Chisenhall,3B,4471
Wilmer Flores,3B,4450
Chris Parmelee,LF,4428
Grant Green,2B,4388
Reed Johnson,CF,4372
Matt den Dekker,CF,4366
Jamey Carroll,2B,4331
Jeff Bianchi,2B,4328
Drew Butera,C,4284
Mark Reynolds,1B,4272
Josh Willingham,LF,4261
Delmon Young,RF,4239
Mike Nickeas,C,4190
Alex Presley,LF,4182
Chris Herrmann,C,4172
Kevin Pillar,LF,4164
Omar Quintanilla,SS,4143
Francisco Peguero,LF,4120
Tim Federowicz,C,4113
Nick Buss,LF,4019
Kelly Johnson,LF,4014
Josh Thole,C,3985
Clete Thomas,CF,3954
Moises Sierra,RF,3925
Chris Gimenez,C,3925
Leury Garcia,2B,3855
Juan Perez,CF,3760
Andrew Romine,SS,3758
Nick Punto,SS,3754
Chris Colabello,RF,3712
Chris Nelson,3B,3708
Jose Molina,C,3705
Chris Iannetta,C,3695
Eduardo Escobar,SS,3675
Jason Kubel,LF,3664
Joey Terdoslavich,LF,3616
Josh Phegley,C,3591
Steve Clevenger,C,3537
Lyle Overbay,1B,3534
Chris Stewart,C,3505
