Peyton Manning,QB,20510
Drew Brees,QB,16860
Aaron Rodgers,QB,16050
Calvin Johnson,WR,15960
Jamaal Charles,RB,15820
Robert Griffin III,QB,15350
Tony Romo,QB,15090
Matthew Stafford,QB,14980
Michael Vick,QB,14790
Russell Wilson,QB,14580
Marshawn Lynch,RB,14510
Dez Bryant,WR,14220
LeSean McCoy,RB,13540
Matt Ryan,QB,13370
Victor Cruz,WR,13240
Andy Dalton,QB,13210
Jordy Nelson,WR,13180
A.J. Green,WR,13170
Knowshon Moreno,RB,12860
Rob Gronkowski,TE,12850
DeSean Jackson,WR,12710
Colin Kaepernick,QB,12700
Adrian Peterson,RB,12600
Demaryius Thomas,WR,12500
Jimmy Graham,TE,12470
Ben Roethlisberger,QB,12450
Reggie Bush,RB,12320
Eli Manning,QB,12130
Wes Welker,WR,12120
Tom Brady,QB,12000
Frank Gore,RB,11880
Terrelle Pryor,QB,11880
Tony Gonzalez,TE,11740
Antonio Brown,WR,11670
Eric Decker,WR,11590
Justin Blackmon,WR,11470
Pierre Garcon,WR,11430
Vernon Davis,TE,11410
Eddie Lacy,RB,11380
Julius Thomas,TE,11230
Ryan Tannehill,QB,11210
Carson Palmer,QB,11050
Le'Veon Bell,RB,10940
Larry Fitzgerald,WR,10860
Alex Smith,QB,10480
Josh Gordon,WR,10170
Geno Smith,QB,10150
Alfred Morris,RB,10010
Nick Foles,QB,10010
Darren Sproles,RB,9980
Josh Freeman,QB,9970
Jarrett Boykin,WR,9760
Stevan Ridley,RB,9630
Jordan Reed,TE,9560
Brandon Weeden,QB,9540
Hakeem Nicks,WR,9530
Fred Jackson,RB,9520
Marques Colston,WR,9400
Giovani Bernard,RB,9350
Christian Ponder,QB,9330
Chad Henne,QB,9240
C.J. Spiller,RB,9210
Jacquizz Rodgers,RB,9140
Thad Lewis,QB,9090
Cecil Shorts III,WR,9080
Anquan Boldin,WR,9070
James Jones,WR,9050
Jason Witten,TE,8940
Jordan Cameron,TE,8900
Terrance Williams,WR,8740
Heath Miller,TE,8660
Matt Cassel,QB,8470
Darren McFadden,RB,8420
DeMarco Murray,RB,8330
Denarius Moore,WR,8320
Mike Wallace,WR,8300
Joseph Randle,RB,8250
Harry Douglas,WR,8220
Greg Jennings,WR,8200
Rueben Randle,WR,8180
Stevie Johnson,WR,7940
49ers,DEF,7940
Matt Barkley,QB,7890
Julian Edelman,WR,7670
Jeremy Kerley,WR,7580
Chiefs,DEF,7550
Golden Tate,WR,7340
Charles Clay,TE,6950
Pierre Thomas,RB,6830
Seahawks,DEF,6740
Matt Flynn,QB,6720
Brian Hartline,WR,6620
Blaine Gabbert,QB,6570
Maurice Jones-Drew,RB,6510
Brandon Jacobs,RB,6460
Brandon Gibson,WR,6410
Bengals,DEF,6390
Zac Stacy,RB,6360
Michael Floyd,WR,6350
Kenbrell Thompkins,WR,6310
Kellen Clemens,QB,6310
Sidney Rice,WR,6290
Emmanuel Sanders,WR,6260
Jerome Simpson,WR,6210
Peyton Hillis,RB,6170
Kris Durham,WR,6060
Saints,DEF,6040
Roddy White,WR,6040
Bilal Powell,RB,6020
Danny Amendola,WR,6020
Kyle Rudolph,TE,5970
Lamar Miller,RB,5790
Roy Helu Jr.,RB,5760
Andre Ellington,RB,5750
Rashard Mendenhall,RB,5660
Steven Jackson,RB,5610
Riley Cooper,WR,5590
Dwayne Bowe,WR,5530
Aaron Dobson,WR,5310
Patriots,DEF,5130
Jeff Cumberland,TE,5090
Jason Snelling,RB,5090
Chris Ogbonnaya,RB,5070
Stephen Hill,WR,5030
Kendall Hunter,RB,5000
BenJarvus Green-Ellis,RB,4930
Mike Brown,WR,4910
Tyler Eifert,TE,4840
Brandon Bolden,RB,4790
Joique Bell,RB,4720
Marvin Jones,WR,4710
Donnie Avery,WR,4660
Rob Housler,TE,4620
Rod Streater,WR,4570
Austin Pettis,WR,4520
Chris Ivory,RB,4490
Robert Woods,WR,4420
Doug Baldwin,WR,4390
Eagles,DEF,4380
Cole Beasley,WR,4380
Santonio Holmes,WR,4380
Leonard Hankerson,WR,4370
Kenny Stills,WR,4260
Steelers,DEF,4220
Tavon Austin,WR,4120
Brandon Pettigrew,TE,4100
Jared Cook,TE,4100
Daniel Thomas,RB,4020
Jason Avant,WR,4000
Jermaine Gresham,TE,3920
Scott Chandler,TE,3900
Jerricho Cotchery,WR,3850
Ronnie Hillman,RB,3840
Brent Celek,TE,3830
Raiders,DEF,3780
Willis McGahee,RB,3780
Santana Moss,WR,3720
Miles Austin,WR,3670
Mohamed Sanu,WR,3640
Cardinals,DEF,3630
Zach Miller,TE,3620
Joseph Fauria,TE,3520
Falcons,DEF,3520
Zach Ertz,TE,3490
Greg Little,WR,3460
David Nelson,WR,3380
Dexter McCluster,WR,3340
Davone Bess,WR,3330
James Starks,RB,3300
Lance Kendricks,TE,3290
Packers,DEF,3230
Brandon Myers,TE,3220
Chris Givens,WR,3180
Browns,DEF,3150
Andre Roberts,WR,3140
Broncos,DEF,3120
Jets,DEF,3080
Marcel Reece,RB,3080
Brian Quick,WR,3020
Cordarrelle Patterson,WR,2940
Daryl Richardson,RB,2890
Robert Meachem,WR,2860
Anthony Fasano,TE,2770
Khiry Robinson,RB,2750
Jarius Wright,WR,2730
Lions,DEF,2730
Lance Moore,WR,2720
Ryan Broyles,WR,2720
Andrew Quarless,TE,2720
T.J. Graham,WR,2680
Mario Manningham,WR,2660
Cowboys,DEF,2650
Dolphins,DEF,2590
Phillip Tanner,RB,2510
Ace Sanders,WR,2510
Brandon Bostick,TE,2500
Levine Toilolo,TE,2490
Mychal Rivera,TE,2450
Bryce Brown,RB,2440
Drew Davis,WR,2360
Benjamin Watson,TE,2360
Nick Toon,WR,2340
Rashad Jennings,RB,2330
Michael Cox,RB,2310
Jermaine Kearse,WR,2290
Kevin Ogletree,WR,2280
Brittan Golden,WR,2240
Johnathan Franklin,RB,2230
Robert Turbin,RB,2200
Alfonso Smith,RB,2180
Darius Johnson,WR,2150
Jacoby Ford,WR,2100
LeGarrette Blount,RB,2050
Marcedes Lewis,TE,2040
Derek Moye,WR,2020
Travis Benjamin,WR,2010
Brian Robiskie,WR,2000
Kevin Cone,WR,2000
Tashard Choice,RB,2000
Marquise Goodwin,WR,2000
Fozzy Whittaker,RB,2000
Dwayne Harris,WR,2000
Montee Ball,RB,2000
Tony Scheffler,TE,2000
Chris Harper,WR,2000
Myles White,WR,2000
Junior Hemingway,WR,2000
Sean McGrath,TE,2000
Knile Davis,RB,2000
David Ausberry,TE,2000
Brice Butler,WR,2000
Isaiah Pead,RB,2000
Toby Gerhart,RB,2000
Austin Collie,WR,2000
Tommy Bohanon,RB,2000
Jeff Maehl,WR,2000
Jaron Brown,WR,2000
Felix Jones,RB,2000
Kyle Williams,WR,2000
Jon Baldwin,WR,2000
Luke Willson,TE,2000
Joshua Morgan,WR,2000
Logan Paulsen,TE,2000
Aldrick Robinson,WR,2000
Justin Forsett,RB,2000
Stephen Burton,WR,2000
Giants,DEF,1980
Rams,DEF,1750
Bills,DEF,1600
Jaguars,DEF,1210
Vikings,DEF,1140
Redskins,DEF,120
