Tim Lincecum,13.88
Matt Garza,12.97
Ivan Nova,12.92
Dillon Gee,11.95
Andre Rienzo,11.94
Alex Cobb,11.71
Mark Buehrle,11.27
Zach McAllister,10.90
Miguel Gonzalez,10.65
Andrew Albers,10.40
Edinson Volquez,10.24
Jeremy Guthrie,9.72
Tyler Cloyd,9.52
John Hellweg,9.36
Jerome Williams,9.35
David Hale,9.34
Mike Trout,3.99
Adrian Beltre,3.76
Robinson Cano,3.53
Hanley Ramirez,3.41
Brandon Belt,3.29
Evan Longoria,3.26
David Wright,3.23
Jonathan Lucroy,3.23
Alfonso Soriano,3.22
Adam Jones,3.21
Carlos Santana,3.19
Yasiel Puig,3.19
Freddie Freeman,3.17
Jason Kipnis,3.16
Eric Hosmer,3.15
Jason Heyward,3.12
Darin Ruf,3.09
Evan Gattis,3.08
Wil Myers,3.07
Josh Hamilton,3.06
Brian McCann,3.05
Billy Butler,3.01
Alex Gordon,3
Nick Swisher,2.99
Alex Rios,2.98
Ian Kinsler,2.98
Brett Lawrie,2.96
Ben Zobrist,2.94
Buster Posey,2.93
Matt Kemp,2.92
Domonic Brown,2.9
Khris Davis,2.9
Ryan Raburn,2.88
Adrian Gonzalez,2.84
Mitch Moreland,2.84
Jose Reyes,2.83
Carl Crawford,2.8
Howie Kendrick,2.77
Lucas Duda,2.77
Adam Dunn,2.76
James Loney,2.76
Hunter Pence,2.74
Curtis Granderson,2.73
Michael Brantley,2.72
Alex Presley,2.7
A.J. Pierzynski,2.69
Mark Trumbo,2.69
Paul Konerko,2.68
Josh Willingham,2.68
Erick Aybar,2.66
Cody Asche,2.64
Brian Dozier,2.63
Angel Pagan,2.63
J.J. Hardy,2.63
Kole Calhoun,2.63
Scooter Gennett,2.62
Chris Johnson,2.6
Norichika Aoki,2.58
Matt Wieters,2.55
Brian Roberts,2.53
Ryan Doumit,2.51
de Alejandro Aza,2.51
Marcus Semien,2.51
Nick Markakis,2.51
Mike Moustakas,2.49
Juan Francisco,2.46
Matt Joyce,2.46
George Kottaras,2.45
JP Arencibia,2.45
Delmon Young,2.44
Josmil Pinto,2.43
Erik Kratz,2.43
Trevor Plouffe,2.42
Mike Baxter,2.42
Pablo Sandoval,2.41
A.J. Ellis,2.39
Yan Gomes,2.39
Justin Turner,2.38
Conor Gillaspie,2.37
David DeJesus,2.37
Pedro Ciriaco,2.36
J.B. Shuck,2.35
Lyle Overbay,2.35
David Murphy,2.35
Danny Valencia,2.35
Eduardo Nunez,2.34
Dayan Viciedo,2.34
d'Travis Arnaud,2.3
Asdrubal Cabrera,2.29
Chris Iannetta,2.27
Eric Young,2.26
Ryan Langerhans,2.26
Elvis Andrus,2.26
Chris Colabello,2.24
Moises Sierra,2.24
Juan Uribe,2.24
Justin Maxwell,2.23
Ichiro Suzuki,2.23
Caleb Gindl,2.23
Avisail Garcia,2.21
Jimmy Rollins,2.2
Yuniesky Betancourt,2.17
Gordon Beckham,2.16
Den Matt Dekker,2.15
Kevin Frandsen,2.13
Gregor Blanco,2.1
Steve Pearce,2.1
Andrelton Simmons,2.09
Craig Gentry,2.09
David Lough,2.07
Elliot Johnson,2.04
Mike Aviles,2.02
Jordan Schafer,2.02
Zoilo Almonte,2.01
Jason Pridie,2
Leonys Martin,1.99
Brandon Crawford,1.99
Mark Ellis,1.99
Cesar Hernandez,1.97
Kevin Pillar,1.93
Munenori Kawasaki,1.91
Sean Rodriguez,1.9
Darin Mastroianni,1.89
Jonathan Schoop,1.87
Drew Stubbs,1.85
Ryan Goins,1.81
Omar Quintanilla,1.78
Anthony Gose,1.75
Jose Lobaton,1.75
Bryan Anderson,1.7
JR Murphy,1.69
Freddy Galvis,1.67
Andrew Romine,1.67
Tony Abreu,1.62
Chris Getz,1.59
Brendan Ryan,1.55
Jeff Bianchi,1.54
Kevin Youkilis,1.41
Carlos Gomez,1.4
Eduardo Escobar,1.3
Chris Davis,1.03
Jurickson Profar,0.94
Vernon Wells,0.93
Nate McLouth,0.92
Justin Upton,0.89
Dan Uggla,0.86
Skip Schumaker,0.85
John Mayberry,0.85
Alex Rodriguez,0.84
Nick Punto,0.81
Chase Utley,0.79
Travis Hafner,0.79
Carlos Ruiz,0.79
Michael Morse,0.78
Luke Scott,0.77
Jeff Baker,0.77
Lance Berkman,0.75
Chris Stewart,0.74
Adam Lind,0.74
Jose Molina,0.73
Jason Giambi,0.72
Salvador Perez,0.72
Desmond Jennings,0.72
B.J. Upton,0.7
Kelly Johnson,0.7
Daniel Murphy,0.7
Michael Young,0.7
Geovany Soto,0.69
Yunel Escobar,0.68
Henry Urrutia,0.66
Michael Bourn,0.64
Alexei Ramirez,0.63
Mark Reynolds,0.63
Lorenzo Cain,0.61
Joaquin Arias,0.6
Oswaldo Arcia,0.59
Mark DeRosa,0.59
Martin Maldonado,0.58
Hank Conger,0.57
Florimon Jr., Pedro	0.57
Emilio Bonifacio,0.57
Chris Nelson,0.56
Juan Lagares,0.53
Roger Bernadina,0.52
Alcides Escobar,0.52
Austin Romine,0.5
Grant Green,0.5
Anthony Recker,0.5
Sam Fuld,0.49
Wilmer Flores,0.49
Jarrod Dyson,0.49
Jamey Carroll,0.49
Hector Sanchez,0.48
Jordan Danks,0.48
Chris Snyder,0.47
Josh Satin,0.47
Logan Schafer,0.47
Ryan Flaherty,0.46
David Adams,0.46
Josh Phegley,0.46
Alexi Casilla,0.46
Doug Bernier,0.45
Brett Gardner,0.45
Lonnie Chisenhall,0.45
Josh Thole,0.45
Clete Thomas,0.44
Roger Kieschnick,0.44
Rajai Davis,0.4
Collin Cowgill,0.4
Andrew Brown,0.4
Irving Falu,0.39
Joey Butler,0.38
Joseph Terdoslavich,0.36
Reed Johnson,0.36
Gerald Laird,0.35
Van Scott Slyke,0.35
Nick Buss,0.34
Nick Noonan,0.34
Paul Janish,0.33
Tommy Field,0.32
Tim Federowicz,0.32
Jerry Hairston,0.32
Adam Rosales,0.3
Brett Pill,0.29
Efren Navarro,0.29
Chris Parmelee,0.29
Engel Beltre,0.29
Steve Clevenger,0.28
Matt Carson,0.28
Chris Herrmann,0.28
Alex Castellanos,0.27
John Hester,0.27
Chris Gimenez,0.27
Freddy Guzman,0.27
Kelly Shoppach,0.26
Sean Halton,0.26
Tim Beckham,0.25
Juan Perez,0.25
Drew Butera,0.25
Johnny Monell,0.25
James Adduci,0.25
Jason Kubel,0.24
Chris Dickerson,0.24
Michael Martinez,0.24
Jose Constanza,0.23
Pete Orr,0.23
Jose Ramirez,0.22
Ehire Adrianza,0.22
Leury Garcia,0.22
Cameron Rupp,0.21
Johnny Giavotella,0.21
Brett Hayes,0.21
Miguel Gonzalez,0.21
Robinson Chirinos,0.19
Francisco Peguero,0.18
Eric Fryer,0.18
Dee Gordon,0.17
Juan Centeno,0.17
Christian Bethancourt,0.17
Wilfredo Tovar,0.17
Mike Nickeas,0.14
Zach Lutz,0.12
