Peyton Manning,27.15
Drew Brees,25.68
Aaron Rodgers,24.13
Colin Kaepernick,23.51
Matthew Stafford,23.29
Robert Griffin III,21.70
Cam Newton,21.09
Andrew Luck,20.07
Tony Romo,20.00
Matt Ryan,19.89
Terrelle Pryor,19.79
Eli Manning,19.73
Andy Dalton,19.70
Carson Palmer,18.81
Sam Bradford,18.61
Philip Rivers,18.14
Matt Schaub,17.99
Tom Brady,17.83
Russell Wilson,17.43
Jay Cutler,17.14
Ryan Tannehill,16.83
EJ Manuel,15.23
Joe Flacco,14.86
Jake Locker,14.44
Ben Roethlisberger,14.33
Josh Freeman,13.27
Christian Ponder,13.27
Brian Hoyer,13.08
Geno Smith,12.96
Chad Henne,6.92
Marshawn Lynch,23.52
Matt Forte,19.49
Adrian Peterson,19.21
Doug Martin,18.16
C.J. Spiller,17.58
Chris Johnson,16.95
Darren Sproles,16.45
Alfred Morris,16.25
Frank Gore,16.25
Knowshon Moreno,15.33
DeMarco Murray,15.22
Arian Foster,14.83
Bernard Pierce,14.34
Joique Bell,14.31
Reggie Bush,14.31
Darren McFadden,13.37
Rashard Mendenhall,13.28
Giovani Bernard,12.35
Stevan Ridley,11.41
Daryl Richardson,11.39
James Starks,11.02
Lamar Miller,10.84
DeAngelo Williams,10.73
Danny Woodhead,9.83
Bilal Powell,9.59
David Wilson,9.24
Chris Ivory,9.18
Ryan Mathews,8.98
Fred Jackson,8.94
Trent Richardson,8.71
Jacquizz Rodgers,8.60
Pierre Thomas,8.30
Jason Snelling,8.25
Willis McGahee,7.95
Ben Tate,7.83
Maurice Jones-Drew,7.72
BenJarvus Green-Ellis,7.44
Robert Turbin,7.39
Ahmad Bradshaw,6.98
Mike Tolbert,6.90
Da'Rel Scott,6.50
Chris Ogbonnaya,6.38
Montee Ball,6.26
Brandon Jacobs,5.25
Kendall Hunter,5.16
Daniel Thomas,4.61
Calvin Johnson,27.02
A.J. Green,22.25
Dez Bryant,20.60
Brandon Marshall,19.12
Julio Jones,18.90
Demaryius Thomas,18.32
Vincent Jackson,17.93
Wes Welker,17.92
Randall Cobb,17.85
Pierre Garcon,17.78
Larry Fitzgerald,17.43
Victor Cruz,16.82
Andre Johnson,16.78
Julian Edelman,16.28
Anquan Boldin,15.93
Jordy Nelson,15.83
Hakeem Nicks,15.62
Marques Colston,15.55
Reggie Wayne,15.25
Mike Wallace,14.85
Steve Smith,14.68
Steve Johnson,14.48
Torrey Smith,13.52
Eric Decker,13.27
DeAndre Hopkins,13.25
Nate Burleson,13.22
Josh Gordon,12.78
Tavon Austin,12.67
T.Y. Hilton,12.55
James Jones,12.28
Eddie Royal,12.22
Miles Austin,12.08
Michael Floyd,12.05
Mike Williams,11.88
Andre Roberts,11.78
Chris Givens,11.57
Rod Streater,11.20
Kendall Wright,11.13
Brian Hartline,10.83
Antonio Brown,10.58
Marlon Brown,10.35
Jerome Simpson,10.03
Golden Tate,9.85
Lance Moore,9.65
Kenbrell Thompkins,9.17
Mohamed Sanu,8.98
Jimmy Graham,18.63
Vernon Davis,14.98
Tony Gonzalez,14.87
Jason Witten,14.38
Julius Thomas,13.90
Jared Cook,13.45
Greg Olsen,13.42
Antonio Gates,13.40
Jermichael Finley,12.98
Martellus Bennett,12.62
Jordan Cameron,12.10
Coby Fleener,11.85
Owen Daniels,11.72
Tyler Eifert,10.95
Brandon Myers,10.40
Heath Miller,9.57
Kyle Rudolph,9.30
Charles Clay,9.07
Zach Sudfeld,8.10
Delanie Walker,7.58
Jermaine Gresham,7.13
Kellen Winslow,6.73
Seahawks,21.65
Vikings,11.90
Bears,11.65
Broncos,9.15
Patriots,7.90
Bills,7.35
49ers,5.75
Steelers,5.05
Jets,4.70
Texans,4.55
Giants,4.20
Titans,4.10
Falcons,3.75
Ravens,3.70
Cowboys,3.50
Panthers,3.15
Dolphins,3.10
Browns,3.05
Bengals,2.90
Chargers,2.90
Rams,2.70
Packers,2.35
Lions,1.70
Saints,1.50
Buccaneers,0.75
Redskins,-0.65
Cardinals,-0.70
Colts,-0.75
Jaguars,-2.50
Raiders,-7.30
Phil Dawson,10.03
Steven Hauschka,8.86
Matt Prater,8.56
Garrett Hartley,8.49
Jay Feely,8.47
Kai Forbath,8.38
Randy Bullock,7.95
Alex Henery,7.95
Dan Bailey,7.91
Nick Novak,7.80
Blair Walsh,7.74
Matt Bryant,7.70
Greg Zuerlein,7.60
Graham Gano,7.58
Adam Vinatieri,7.33
Ryan Succop,7.32
Rian Lindell,7.30
Stephen Gostkowski,7.22
Josh Scobee,7.20
Nick Folk,7.03
Dan Carpenter,6.97
Mike Nugent,6.91
Justin Tucker,6.86
Caleb Sturgis,6.84
Sebastian Janikowski,6.82
David Akers,6.79
Mason Crosby,6.78
Billy Cundiff,6.77
Josh Brown,6.69
Rob Bironas,6.42
Shaun Suisham,6.37
Robbie Gould,6.27
