Anthony Rizzo,1B,3.47,4500,CHC,NYM
Kris Bryant,3B,3.17,4000,CHC,NYM
Dexter Fowler,OF,2.92,3200,CHC,NYM
Jorge Soler,OF,2.87,3000,CHC,NYM
Welington Castillo,C,2.42,2200,CHC,NYM
Starlin Castro,SS,2.35,3100,CHC,NYM
Addison Russell,2B,2.31,2800,CHC,NYM
Junior Lake,OF,1.94,2200,CHC,NYM
David Ross,C,0.62,2200,CHC,NYM
Chris Coghlan,OF,0.56,2500,CHC,NYM
Miguel Montero,C,0.55,3200,CHC,NYM
Matt Szczur,OF,0.47,2200,CHC,NYM
Jonathan Herrera,2B,0.45,2200,CHC,NYM
Michael Brantley,OF,3.11,4400,CLE,STL
Brandon Moss,OF,2.73,3100,CLE,STL
Carlos Santana,1B,2.67,3400,CLE,STL
Jason Kipnis,2B,2.62,4200,CLE,STL
Lonnie Chisenhall,3B,2.09,2700,CLE,STL
David Murphy,OF,1.94,2400,CLE,STL
Roberto Perez,C,1.87,2200,CLE,STL
Jose Ramirez,SS,1.82,2200,CLE,STL
Michael Bourn,OF,1.61,2300,CLE,STL
Ryan Raburn,OF,0.54,2300,CLE,STL
Zach Walters,SS,0.46,2200,CLE,STL
Nick Swisher,1B,0.41,2200,CLE,STL
Brett Hayes,C,0.38,2200,CLE,STL
Miguel Cabrera,1B,3.7,4500,DET,MIN
Yoenis Cespedes,OF,2.78,2900,DET,MIN
Ian Kinsler,2B,2.64,3500,DET,MIN
J.D. Martinez,OF,2.55,3100,DET,MIN
Anthony Gose,OF,2.48,3200,DET,MIN
Jose Iglesias,SS,2.08,2400,DET,MIN
Nick Castellanos,3B,2.03,2200,DET,MIN
James McCann,C,1.71,2200,DET,MIN
Rajai Davis,OF,0.59,3000,DET,MIN
Andrew Romine,SS,0.5,2200,DET,MIN
Hernan Perez,2B,0.48,2200,DET,MIN
Bryan Holaday,C,0.36,2200,DET,MIN
Lorenzo Cain,OF,2.66,3200,KC,@ TEX
Eric Hosmer,1B,2.64,4200,KC,@ TEX
Alex Gordon,OF,2.59,3500,KC,@ TEX
Kendrys Morales,1B,2.51,2700,KC,@ TEX
Mike Moustakas,3B,2.49,2800,KC,@ TEX
Alcides Escobar,SS,2.3,2700,KC,@ TEX
Salvador Perez,C,2.21,2400,KC,@ TEX
Paulo Orlando,OF,1.99,2200,KC,@ TEX
Omar Infante,2B,1.89,2300,KC,@ TEX
Christian Colon,SS,0.52,2200,KC,@ TEX
Jarrod Dyson,OF,0.51,2400,KC,@ TEX
Drew Butera,C,0.27,2200,KC,@ TEX
