Aaron Rodgers,GB,552.2,370.7,"4,491.60",38,10,56.7,272.9,2.6,3.7,347
Drew Brees,NO,659,438,"5,095.60",41.3,16.7,16.3,38.8,1,3.1,339.5
Cam Newton,CAR,502.8,302.2,"3,918.30",21.3,13.2,122.1,719.1,6.9,3.9,321.4
Peyton Manning,DEN,601.9,408,"4,854.80",38.5,12.2,17.9,16.8,0.2,2.7,321.3
Tom Brady,NE,595.7,386.9,"4,564.90",33.4,11.4,29.3,55.8,2.1,2.3,307.3
Matt Ryan,ATL,609.4,402.9,"4,745.40",32.3,12.8,32.8,99.4,0.8,3.3,301.5
Colin Kaepernick,SF,480,305.8,"3,757.20",21.4,11.6,113.2,669.7,5.4,6.1,300.1
Matthew Stafford,DET,679,419.7,"4,888.20",29,15.7,24.6,94,1.4,3,292.3
Andrew Luck,IND,582.3,361.1,"4,394.30",27.2,13.8,62,270.1,2.9,4.7,291.5
Robert Griffin III,WAS,437.4,287.4,"3,445.20",22.9,9.1,90.3,585.8,5.2,6,289.1
Russell Wilson,SEA,465.7,296.6,"3,585.10",24.9,11.6,94.2,463.3,3.9,3.7,282.2
Tony Romo,DAL,614.4,401.3,"4,760.60",29.1,15.1,23.1,49.1,0.8,3.6,279.2
Eli Manning,NYG,558.4,346.8,"4,223.50",28.5,14.4,24.8,35,0.8,3,256.6
Andy Dalton,CIN,539,328,"3,859.40",26,16.1,41.8,150.6,1,3.3,240.6
Josh Freeman,TB,552.4,324.5,"3,942.10",25.5,16.5,41.5,175.1,0.6,4.7,238.4
Ben Roethlisberger,PIT,500.1,316.1,"3,686.30",23.6,10.9,29,96,1.6,3.9,231.5
Michael Vick,PHI,411,251.4,"3,063.60",18.5,11.5,77.7,483.5,2.8,5,229.3
Joe Flacco,BAL,546.8,336.4,"3,971.70",22.6,12.7,34.7,61.4,1.1,4.9,226.9
Matt Schaub,HOU,538,341.4,"4,038.70",23.5,12.6,19.9,20.8,0.2,3.6,226.8
Carson Palmer,ARI,565.9,346.2,"4,140.20",24.4,16.9,20.4,32.1,0.2,3.7,226.6
Jay Cutler,CHI,508.6,317.2,"3,768.50",23.6,15.4,37.9,167.7,0.8,4.9,225.9
Sam Bradford,STL,551,336.7,"3,917.30",23.5,14.4,31.7,89,0.7,4.9,225
Philip Rivers,SD,558.5,350.6,"4,031.20",25,17.4,25.1,45.7,0.1,5.4,220.7
Alex Smith (KC),KC,510.6,324.2,"3,676.70",20.5,11.2,40.8,153,0.8,4,219.1
Ryan Tannehill,MIA,516.3,316.8,"3,553.00",19,14,51.8,200.1,1.7,4.2,211.8
Brandon Weeden,CLE,517.9,309.1,"3,721.10",20.2,15,24.3,93.6,0.2,3.1,203.9
Jake Locker,TEN,446.7,266.2,"3,194.10",17,13.7,55.3,310.9,1.6,3.6,201.5
E.J. Manuel,BUF,392.1,237.1,"2,745.30",15.6,13.3,55.2,300.4,2.2,3.2,182.5
Christian Ponder,MIN,417.1,255.2,"2,868.10",17,13.1,43.4,196,0.8,4.9,171.1
Matt Flynn,OAK,412.9,246.2,"2,921.20",17.1,13.4,27.4,46.7,0.4,2.6,160
Geno Smith,NYJ,354,205.9,"1,872.00",12.9,11.5,56.8,264.6,1.9,4.2,132.6
Blaine Gabbert,JAC,328.4,195.7,"2,341.30",13.1,11.5,23.4,80.1,0.6,3.8,127.2
Chad Henne,JAC,207.7,119.9,"1,403.60",8.2,7.4,13.1,43.5,0,1.4,75.8
Mark Sanchez,NYJ,137.1,80,981.2,5.9,7.1,11.5,32.7,0.3,1.7,50.3
Nick Foles,PHI,129.1,78.8,875.5,5,3,7.8,23.1,0,0.9,49.8
Kevin Kolb,BUF,102.2,61.2,774,4.9,3.8,8.4,46.2,0.2,1.5,45.7
Matt Cassel,MIN,123.2,74.8,812.9,5.1,5.1,12.2,42.7,0,1.4,44.4
Terrelle Pryor,OAK,100.4,56.4,578.8,3.8,4,16.4,84.7,0.7,1,41.1
Ryan Fitzpatrick,TEN,101.3,60.6,651.9,4.2,3.2,7,28.3,0.2,1.1,38.6
Kirk Cousins,WAS,61.5,38.4,454.6,3.3,1.8,4.6,19.1,0,0.1,29.4
Matt Barkley,PHI,62.9,38.2,398.1,2.2,1.5,3.5,10.7,0,1,20.7
Bruce Gradkowski,PIT,63.1,35.9,429.3,1.7,2.3,3.8,9.7,0,0.7,18.9
Jason Campbell,CLE,43.2,25.6,301.7,1.7,2,3.4,12.1,0,0.3,15.6
Chase Daniel,KC,39,23.7,266.3,1.2,1.5,4.1,11.4,0,0.2,13
Matt Moore,MIA,28.1,17.1,196.6,1.4,1.1,2.4,7.5,0,0.2,11.8
Drew Stanton,ARI,28.7,17.7,203.7,1,1.2,1.8,4.7,0,0.5,9.4
Tyler Wilson,OAK,28,16,174.4,1.1,1.1,1.6,4.8,0,0.3,8.9
Brian Hoyer,CLE,19.7,11.6,141.7,0.9,0.4,1.9,5.9,0,0.1,8.6
Tyrod Taylor,BAL,15.2,9.4,106.3,0.4,0.2,6,26.4,0,0,8.2
Domanique Davis,ATL,21.3,12.1,141.4,0.7,0.1,0.7,2.3,0,0.1,8.1
Josh McCown,CHI,25.9,14.6,174.2,0.6,0.9,2.7,11.1,0,0.6,7.4
Colt McCoy,SF,17,10,116,0.7,0.3,1,4.3,0,0,7.1
Seneca Wallace,SF,17.5,9.8,129.5,0.9,0.3,0.7,2.6,0,0.6,7
Dennis Dixon,PHI,10.2,6.7,49.8,0.4,0,4.9,28.9,0,0,6.6
Tim Tebow,NE,10,5.3,37.3,0.7,0.3,3.7,15,0.3,0.4,6.1
Kyle Orton,DAL,15.9,9.5,107.9,0.7,0.5,0.7,1,0,0.1,5.9
Charlie Whitehurst,SD,19.1,10.6,115,0.6,0.6,0.1,0.3,0,0,5.8
Graham Harrell,GB,9.3,6,63,0.7,0,1,4,0,0,5.6
Shaun Hill,DET,11.5,7,72,0.7,0.2,0.6,0.8,0,0,5.3
Brock Osweiler,DEN,11.2,7.2,79.2,0.3,0,1.3,2.5,0,0,4.4
Josh Johnson,CIN,13,7.8,92.3,0.1,0.1,1.8,5.4,0,0.2,4.1
Ryan Mallett,NE,5.3,3.4,36.2,0.3,0,0.2,0.5,0,0,2.7
Curtis Painter,NYG,7.6,4.4,45.3,0,0,1.3,6.2,0,0,2.4
Taylor Yates,HOU,12.7,7.4,72.7,0.3,0.6,2.2,7.6,0,1,1.8
Luke McCown,NO,5.3,3.1,37.5,0.1,0.1,0.5,1.5,0,0.1,1.8
Matt Hasselbeck,IND,5.9,3.5,40.5,0.1,0,0,0.2,0,0.1,1.7
Brady Quinn,SEA,6,3.5,39.5,0,0,0,0,0,0,1.6
Austin Davis,STL,5.2,3,34.4,0.1,0.1,0.4,1.6,0,0.1,1.5
Vince Young,GB,5.5,3.5,40,0.1,0.4,0.8,4.5,0,0.2,1.4
Ryan Nassib,NYG,2.7,1.6,21.2,0.1,0.1,0.1,0.3,0,0.1,1.1
Tarvaris Jackson,SEA,2.3,1.4,18.1,0.1,0.1,0.1,0.4,0,0.1,1
Dan Orlovsky,TB,3.7,2.1,23.1,0,0,0.5,0.5,0,0,1
Mike Glennon,TB,2.8,1.5,19.6,0.1,0.1,0.1,0.2,0,0.1,0.9
Derek Anderson,CAR,3.5,2,23.5,0.1,0.1,0,0.1,0,0.1,0.9
David Carr,NYG,2.5,1.6,14.7,0,0,0,0,0,0,0.6
B.J. Coleman,GB,0,0,0,0,0,0,0,0,0,0
Brad Sorensen,SD,0,0,0,0,0,0,0,0,0,0
Colby Cameron,CAR,0,0,0,0,0,0,0,0,0,0
Adam Weber,TB,0,0,0,0,0,0,0,0,0,0
Ricky Stanzi,KC,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,SF,0,0,0,0,0,0,0,0,0,0
Sean Renfree,ATL,0,0,0,0,0,0,0,0,0,0
Kellen Clemens,STL,0,0,0,0,0,0,0,0,0,0
Stephen McGee,HOU,0,0,0,0,0,0,0,0,0,0
Mike Kafka,JAC,0,0,0,0,0,0,0,0,0,0
