Adrian Peterson,MIN,327,"1,652.40",12.7,39.1,280.1,1.4,2.4,273.4
Doug Martin,TB,300.2,"1,354.00",9.6,53.6,441.7,1.5,1.2,244.1
Arian Foster,HOU,294.7,"1,298.90",11.4,42.1,364.6,1.9,2,242.2
C.J. Spiller,BUF,262.9,"1,410.50",7.5,48.6,437.4,2.4,2.5,239.6
Jamaal Charles,KC,252.7,"1,414.30",6.6,56.9,467.7,2.1,2.5,235.6
Marshawn Lynch,SEA,298.6,"1,429.30",11.3,24.9,195.5,0.9,2.4,230.9
Trent Richardson,CLE,291.3,"1,216.60",9.9,49.1,385.3,1.5,1.7,225
Ray Rice,BAL,250.4,"1,152.60",8.2,60.8,494.2,2.1,1.7,222.8
LeSean McCoy,PHI,262,"1,202.00",8.4,53.3,408,2.2,2.2,219.9
Alfred Morris,WAS,313,"1,433.30",11.1,14.8,95.2,0.2,2.6,215.8
Matt Forte,CHI,252.1,"1,128.00",5.3,58.4,465.3,2.4,2.1,201.3
Steven Jackson,ATL,246.9,"1,082.10",8.8,40.2,318,0.8,1,195.6
Stevan Ridley,NE,272.5,"1,248.60",10.9,8.9,77.1,0.2,2.4,194.2
Chris Johnson,TEN,262.3,"1,232.60",6.5,39.8,308.2,0.8,2,193.5
Reggie Bush,DET,197.4,901.7,5,70.6,551.1,3,2.1,188.7
Maurice Jones-Drew,JAC,267,"1,147.40",6.6,37.8,305.7,1.1,2.2,187.3
DeMarco Murray,DAL,233,"1,099.90",7,41,310,0.8,1.9,184.3
Frank Gore,SF,244.7,"1,096.70",7.6,24.5,202.3,1,1.7,178
David Wilson,NYG,222.2,"1,071.20",5.8,27,258.1,1.6,1.2,174.4
Lamar Miller,MIA,220.9,"1,027.20",6.4,32.7,272.1,1.3,1.3,173.2
Darren McFadden,OAK,225.4,"1,029.60",5.9,38.7,304.8,1.2,2,171.9
Darren Sproles,NO,72.5,411.8,2.2,79.7,692.2,6.5,0.7,161.3
Christopher Ivory,NYJ,207.6,961.1,6.5,14.6,120.5,0.4,1.6,146.6
Rashard Mendenhall,ARI,226,916.2,6.1,22.5,170.6,0.4,1.4,144.7
Eddie Lacy,GB,194.7,878.6,6.5,21.8,164.6,0.6,1.3,144.4
Ryan Mathews,SD,205,878.5,4.9,31.9,249.1,0.6,1.9,142
Montee Ball,DEN,185.7,827.3,7,21.9,171.7,0.5,1.4,141.8
Ahmad Bradshaw,IND,179.3,825.9,5.8,27.8,211.9,0.9,1.4,141
Shane Vereen,NE,121.3,527.4,4.1,51.4,441.1,2.5,0.5,135.5
Daryl Richardson,STL,185.7,803.6,4.5,35.9,248.6,1.1,2,134.8
Giovani Bernard,CIN,164,742.3,4.1,38.5,303.2,1.3,1.4,134.2
Andre Brown,NYG,146.2,641.8,7.5,20.7,157.4,0.5,1.3,125
DeAngelo Williams,CAR,175.1,773.6,5.3,18.9,139.6,0.7,1.1,124.8
BenJarvus Green-Ellis,CIN,181.6,774,6,11.6,86,0,1.2,119.7
Mark Ingram,NO,178.9,749.9,6.4,10.2,62.6,0.1,0.9,118.7
Le'Veon Bell,PIT,155.5,695.9,5,20.3,149.2,0.9,1.2,117.6
Ronnie Hillman,DEN,151.4,639.9,3.3,30.9,232.1,1.1,1.1,111.5
Jonathan Stewart,CAR,135.7,621.4,3.9,21.6,196.8,0.7,1.6,106.3
Ben Tate,HOU,140.8,652.3,4.7,14.8,104.9,0.2,1,103.2
Danny Woodhead,SD,97.6,431.1,2.5,41.8,352.8,1.6,0.4,102.2
Vick Ballard,IND,139.3,561.3,4.3,20.9,154.6,0.8,0.7,101.1
Pierre Thomas,NO,115.8,517.2,3.1,34.4,273.9,0.9,1.2,100.8
Bernard Pierce,BAL,144.8,664,3.5,13.9,100.4,0.4,0.5,98.9
Willis McGahee,FA,0,488,2,0,327,1,1,97.5
Fred Jackson,BUF,125.1,534.4,3.5,25.2,191.9,0.9,1.5,96
Bryce Brown,PHI,135.3,595.4,4.1,17.9,121.1,0.5,1.9,95.2
Jacquizz Rodgers,ATL,89.6,394.7,1.3,40.5,320.4,1.2,0.6,85.3
Bilal Powell,NYJ,110.3,457.1,2.5,24.5,175.5,0.6,0.6,80.7
Michael Bush,CHI,107.4,405.3,5.1,10.7,88.3,0.3,0.8,80.1
Mikel Leshoure,DET,98.3,428.3,5.1,13.4,90.1,0,1.4,80
Shonn Greene,TEN,112,460.2,4.7,9.9,69.5,0,1,79.6
Isaiah Pead,STL,109.8,527,2.7,15,113.1,0.2,0.9,79.5
Daniel Thomas,MIA,108,420.5,3.7,17.1,129.1,0.4,1.3,76.6
Jonathan Dwyer,PIT,108.6,449.4,3.2,10.8,84.5,0.2,0.7,72.6
Roy Helu,WAS,75.9,333,1.6,30.9,219,1.1,0.6,70.5
Johnathan Franklin,GB,80.3,357,2,20.3,160.9,1.1,0.3,69.9
Kendall Hunter,SF,98.4,437.6,2.4,13.7,111.3,0.2,0.5,69.3
Joique Bell,DET,72.9,317,2.3,27,205.3,0.7,0.5,69.1
LaRod Stephens-Howling,PIT,70.8,303.1,1.4,27.6,226.2,1.2,0.3,67.8
Marcel Reece,OAK,48.7,202.8,0.8,40.8,329.5,1.9,0.5,67.8
Mike Tolbert,CAR,60.6,231.7,4.3,27,182,0.3,0.8,67.7
Zac Stacy,STL,90.4,384.7,3.1,10,78.6,0.3,0.5,65.9
DuJuan Harris,GB,83.8,364.4,2.3,15.8,119.2,0.4,0.3,64.5
Knile Davis,KC,91,395.7,2.5,12.3,92.7,0.2,0.6,63.7
Toby Gerhart,MIN,74.6,316.1,1.9,18.3,151.6,0.5,0.7,59.8
Isaac Redman,PIT,85.8,348.1,2.2,14.7,115,0.3,0.9,59.4
Robert Turbin,SEA,72.8,331.2,1.5,15.2,126.7,0.5,0.1,57.5
LaMichael James,SF,70.8,326,1.8,14.7,115.8,0.6,1,56.5
Rashad Jennings,OAK,85.8,353.7,1.5,15.4,113.8,0.3,0.7,56.3
Dexter McCluster,KC,22,89,0,51,395,1,0,54.4
Ryan Williams,ARI,71.4,338.8,1.7,12.4,99.9,0.3,0.9,54.2
Knowshon Moreno,DEN,62.5,270.1,1.9,17.8,126.8,0.6,0.6,53.9
Denard Robinson,JAC,53.2,266.3,1.2,18.5,163.9,0.5,0.9,51.7
Christine Michael,SEA,63.7,302.9,1.9,11,84,0.1,0.1,50.4
Joseph Randle,DAL,63.1,289.5,1.5,13.1,97.6,0.5,0.2,50.3
Lance Dunbar,DAL,67.2,281.1,1.5,14,92,0.5,0.8,48
LeGarrette Blount,NE,69.5,297.6,2.7,3.8,19.5,0,0.6,46.4
Mike Gillislee,MIA,61.1,269.2,1.4,13.6,97,0.2,0.5,44.9
Justin Forsett,JAC,65.4,287.9,0.7,12.7,87.8,0.2,0.2,42.7
Latavius Murray,OAK,53.1,249.8,1.3,10.3,80.5,0.2,0.4,41.7
Brandon Jackson,CLE,53.8,217.5,1.3,11.8,94.6,0.4,0.9,39.6
Donald Brown,IND,59.1,251.7,0.9,10.3,83,0.2,0.2,39.2
Stepfan Taylor,ARI,69,264.4,1.3,8.2,52.4,0,0.6,38.2
Dion Lewis,CLE,36,151.1,0.5,16.3,130.2,1,0,37.4
Ronnie Brown,SD,43,186,0.5,18.8,162.3,0.1,0.6,36.8
Charles Clay,MIA,1,4,0,31,286,1,0,35
Mike Goodson,NYJ,30.9,175.5,0.8,11.5,100.5,0.6,0.3,34.9
Mike James,TB,50.8,215.4,1.3,6.7,51,0.3,0.5,34.8
John Kuhn,GB,28.1,83.6,1.5,16.5,101.5,1.1,0.3,33.7
Jason Snelling,ATL,24,118.7,0.6,18.9,138.7,0.8,0.4,33
Evan Royster,WAS,40.1,169.6,0.8,11.6,87.6,0.4,0,32.8
Chris Polk,PHI,51.6,232.1,0.9,7.1,48.7,0,0.5,32.7
Andre Ellington,ARI,38.1,183.9,0.5,10.6,84.7,0.4,0,32.1
Montario Hardesty,CLE,47.9,199,0.8,5.7,43.2,0,0,29.3
