Jimmy Graham,NO,89.2,"1,112.70",10.1,0.2,171.5
Rob Gronkowski,NE,68.2,955.5,10.1,1,154.3
Tony Gonzalez,ATL,85.2,888.7,6.9,0,130.1
Jason Witten,DAL,91.7,955.9,5.3,0,127
Vernon Davis,SF,64.5,844.7,6.3,0.5,121
Greg Olsen,CAR,63.9,776.3,5.3,0.9,107.9
Jermichael Finley,GB,62.2,725.4,5.7,0.4,106.1
Antonio Gates,SD,58.3,674.5,6.2,0.3,104.3
Jared Cook,STL,58.1,718.6,5.5,0.6,103.9
Kyle Rudolph,MIN,58.4,628.5,6.6,0.3,101.9
Owen Daniels,HOU,60.4,678.4,5,0.3,97
Brandon Myers,NYG,62,669.2,4.6,0,94.3
Martellus Bennett,CHI,54.2,616.5,5.4,0.1,93.9
Jordan Cameron,CLE,55.7,650.4,4.6,0.3,91.7
Brandon Pettigrew,DET,63.9,653.4,4.7,1.2,91.3
Fred Davis,WAS,48.8,608.4,4.3,0.1,86.7
Coby Fleener,IND,48.2,541.5,4.4,0.3,79.7
Marcedes Lewis,JAC,51.6,557.7,4.2,0.8,79.5
Tyler Eifert,CIN,47.3,557.1,3.8,0.3,77.8
Jermaine Gresham,CIN,44.5,539.9,4,0.8,76.1
Robert Housler,ARI,53.4,555.2,3.5,0.1,76
Zach Miller (SEA),SEA,44.5,518.8,4,0.3,75
Ed Dickson,BAL,38.7,499.9,4.2,0.4,74.4
Dwayne Allen,IND,46.6,505.2,3.9,0.3,73.6
Heath Miller,PIT,36.6,457.8,4.3,0.3,70.9
Scott Chandler,BUF,37.3,427.6,3.9,0.7,64.7
Delanie Walker,TEN,34.6,435.8,3.6,0.6,64.2
Zach Sudfeld,NE,30.3,382.1,4.3,0.2,63.6
Brent Celek,PHI,38.2,474.6,2.6,0.2,62.5
Julius Thomas,DEN,31.7,409.7,3.5,0.1,61.5
James Casey,PHI,33.1,402.4,2.8,0.3,56.6
Dallas Clark,BAL,32.6,386.1,2.8,0.1,55.3
Kellen Winslow,NYJ,34.7,418.3,2.3,0.3,54.7
Tony Scheffler,DET,29.7,375.8,2.4,0.1,52.1
Travis Kelce,KC,30.5,353.5,2.6,0.3,50.1
Zach Ertz,PHI,30.3,348.6,2.4,0.1,49.3
Anthony Fasano,KC,32,339.2,2.6,0.1,49.1
Joel Dreessen,DEN,25.7,289.5,3.2,0.3,47.3
Luke Stocker,TB,31.9,345.1,2.1,0.1,47
David Ausberry,OAK,28.2,343.9,2.1,0.1,46.8
Jacob Tamme,DEN,29.7,327.3,2.2,0,46
Jeff Cumberland,NYJ,31.5,343.4,1.9,0.1,45.8
Garrett Graham,HOU,28.6,310.8,2.2,0.1,44.2
Tony Moeaki,KC,26.7,327.6,1.2,0,40.1
Dustin Keller,MIA,19,276.6,1.9,0,38.8
Tom Crabtree,TB,20.8,223.5,1.9,0,33.4
Charles Clay,MIA,20.8,238.9,1.6,0.1,33.3
Benjamin Watson,NO,18.1,237,1.6,0,33.2
Lance Kendricks,STL,18.6,232.4,1.7,0,33.1
Vance McDonald,SF,18.6,238.6,1.5,0.1,32.7
David Thomas,FA,0,271,0,0,27.1
David Paulson,PIT,15.9,178.3,1.2,0,25.1
Dion Sims,MIA,16.1,175.4,1.3,0.1,25.1
Jake Ballard,NE,12.1,174.2,1.3,0.2,24.6
Luke Willson,SEA,12.9,149.8,1.6,0.2,24
Gavin Escobar,DAL,14.1,164.4,1.2,0,23.7
Craig Stevens,TEN,13.6,184.5,0.7,0,22.8
Jeff King,ARI,14.1,145.1,1.3,0,22.6
Mychal Rivera,OAK,15,176,0.7,0,21.8
Logan Paulsen,WAS,13,149.8,0.9,0,20.4
John Phillips,SD,14,136,1,0.1,19.5
D.J. Williams,GB,10.6,115.2,1.3,0,19.2
John Carlson,MIN,14.8,156.1,0.5,0,18.8
Matt Spaeth,PIT,11.4,120.1,1.1,0,18.3
Ladarius Green,SD,11.3,133.4,0.8,0,17.9
Jordan Reed,WAS,8.8,118.8,0.9,0,17.1
Lee Smith,BUF,10.4,125,0.7,0,16.6
Taylor Thompson,TEN,12,134.6,0.5,0,16.3
Kellen Davis,CLE,10.9,126.2,0.6,0,16
Michael Egnew,MIA,11,125.2,0.6,0,15.8
Andrew Quarless,GB,9.2,110.1,0.8,0,15.7
Richard Gordon,OAK,11.2,131.2,0.4,0.1,15.6
Adrien Robinson,NYG,9,114.3,0.7,0,15.4
Virgil Green,DEN,8.8,114,0.5,0,14.5
Anthony McCoy,SEA,6.7,95.7,0.7,0,13.6
Gary Barnidge,CLE,9.5,111.3,0.4,0,13.4
James Hanna,DAL,10.6,102.1,0.5,0,13.1
Clay Harbor,PHI,8,88.7,0.7,0,12.8
Matthew Mulligan,GB,7.9,93.8,0.5,0.1,12.3
Garrett Celek,SF,7.9,98.1,0.4,0,12.3
Jeron Mastrud,OAK,8.2,93.9,0.5,0.1,12.3
Nick Kasa,OAK,8.5,98.9,0.4,0,12.2
Michael Williams,DET,7.6,87.6,0.6,0.1,11.9
Allen Reisner,JAC,7.2,79.1,0.6,0,11.6
Visanthe Shiancoe,BAL,8.1,93.9,0.3,0,11.5
Chase Coffman,ATL,8.3,81.3,0.5,0,11.2
Michael Higgins,NO,6.5,74.3,0.6,0.1,11
Michael Palmer,PIT,7.1,78.7,0.4,0,10.5
Evan Moore,FA,5.4,65.4,0.7,0,10.4
Niles Paul,WAS,6.7,90.9,0.1,0,9.6
Michael Hoomanawanui,NE,7.1,82.5,0.2,0,9.5
Konrad Reuland,NYJ,7.5,72.4,0.3,0,9.1
Dante Rosario,DAL,5.7,65.3,0.4,0.1,9
Bear Pascoe,NYG,6.8,79.1,0.1,0,8.4
Steve Maneri,CHI,5.7,62.8,0.3,0,8.3
Justice Cunningham,IND,4.7,53.3,0.3,0.1,7.2
Alex Smith (CIN),CIN,4.5,51.5,0.3,0.1,6.8
Sean McGrath,SEA,5.1,59.2,0.1,0,6.7
Hayden Smith,NYJ,5.3,66.8,0,0,6.7
Ryan Griffin,HOU,5.1,55.5,0.2,0.1,6.7
Levine Toilolo,ATL,4.6,51,0.3,0.1,6.5
Billy Bajema,BAL,0,34,0.5,0,6.4
Brett Brackett,JAC,4.6,52.2,0.2,0.1,6.4
Weslye Saunders,FA,5.8,62.2,0,0,6.2
Rhett Ellison,MIN,6.2,58,0.1,0,6.2
Daniel Fells,NE,4.3,52.4,0.2,0,6.1
Jamie McCoy,PIT,3.8,43.1,0.3,0.1,5.9
Chris Gragg,BUF,4,43.7,0.2,0,5.5
David Johnson,FA,3.4,39.3,0.3,0.1,5.4
Zach Miller (TB),TB,3.5,37.6,0.3,0,5.3
D.C. Jefferson,ARI,4,44.6,0.1,0.1,5.1
Ben Hartsock,CAR,3.9,39.9,0.1,0,4.4
Evan Rodriguez,MIA,5,43,0,0,4.3
Dorin Dickerson,BUF,4,42.5,0,0,4.3
Richie Brockel,CAR,2.3,20.6,0.3,0,4
Kyle Adams,CHI,2.8,30.2,0.1,0,3.5
Mike McNeill,STL,3.3,29,0.1,0,3.4
Ryan Otten,JAC,3,32.5,0,0,3.3
Nate Byham,TB,2.7,21.8,0.1,0,2.8
Brody Eldridge,CHI,3.1,24.9,0,0,2.5
Jim Dray,ARI,1.7,21.7,0,0,2.2
Aaron Hernandez,FA,2,20,0,0,2
Ryan Taylor,GB,2.2,18.2,0,0,1.8
Kory Sperry,ARI,0.9,15.6,0,0,1.6
Colin Cochart,DAL,0.9,9.8,0,0,1
Dan Gronkowski,FA,1.3,9.3,0,0,0.9
Mike Caussin,BUF,1.3,9.3,0,0,0.9
Zack Pianalto,TB,0.9,8.9,0,0,0.9
Mickey Shuler,MIN,0.4,6.7,0,0,0.7
Kevin Brock,FA,0.4,6.2,0,0,0.6
Tommy Gallarda,FA,0.7,4.7,0,0,0.5
Fendi Onobun,CHI,0.7,3.3,0,0,0.3
Isaiah Stanback,NE,0.4,2.7,0,0,0.3
Brad Smelley,CLE,0.7,2,0,0,0.2
Matt Furstenburg,BAL,0,0,0,0,0
Richard Quinn,CIN,0,0,0,0,0
Jake O'Connell,DEN,0,0,0,0,0
Demetrius Harris,KC,0,0,0,0,0
Cory Harkey,STL,0,0,0,0,0
Leonard Pope,CHI,0,0,0,0,0
Joseph Fauria,DET,0,0,0,0,0
MarQueis Gray,SF,0,0,0,0,0
Jake Stoneburner,GB,0,0,0,0,0
Alex Silvestro,BAL,0,0,0,0,0
Brandon Williams,ARI,0,0,0,0,0
Kyle Miller,MIA,0,0,0,0,0
Colin Cloherty,FA,0,0,0,0,0
Derek Carrier,PHI,0,0,0,0,0
Dennis Pitta,BAL,0,0,0,0,0
Dominique Curry,DET,0,0,0,0,0
Philip Lutzenkirchen,STL,0,0,0,0,0
Danny Noble,TB,0,0,0,0,0
Dominique Jones,IND,0,0,0,0,0
Gabe Miller,CHI,0,0,0,0,0
Deangelo Peterson,WAS,0,0,0,0,0
Zach Potter,STL,0,0,0,0,0
Andre Smith,IND,0,0,0,0,0
Brandon Bostick,GB,0,0,0,0,0
Cameron Morrah,FA,0,0,0,0,0
Brandon Barden,TEN,0,0,0,0,0
