Calvin Johnson,DET,0.7,5,0,105.3,"1,652.30",10.3,1.2,225.3
A.J. Green,CIN,4.4,34.9,0,93.3,"1,345.10",10.3,0.4,199.4
Dez Bryant,DAL,1.5,7.5,0,94.4,"1,382.00",10.3,1.1,198.8
Brandon Marshall,CHI,0.3,1,0,104.8,"1,393.50",9.6,0.7,195.4
Julio Jones,ATL,6.3,48.9,0.1,83.5,"1,270.70",10,0.1,192
Demaryius Thomas,DEN,0,0,0,85.2,"1,276.80",10,1.6,184.3
Larry Fitzgerald,ARI,0,0,0,89.3,"1,262.40",8.5,0.3,176.9
Andre Johnson,HOU,0,0,0,96.2,"1,356.60",6.8,0.4,175.6
Roddy White,ATL,0,0,0,90.1,"1,248.60",8.5,0.1,175.4
Randall Cobb,GB,13.3,112.9,0.4,93.7,"1,133.80",8.3,1,175
Vincent Jackson,TB,0,0,0,71.9,"1,238.20",8.2,0.5,172.3
Victor Cruz,NYG,0,0,0,85.8,"1,159.90",8.5,0.4,165.8
Marques Colston,NO,0,0,0,79.6,"1,095.50",8.4,1.1,157.8
Dwayne Bowe,KC,0,0,0,79.7,"1,110.30",7.5,0.5,154.8
Pierre Garcon,WAS,2,13.6,0,75.3,"1,094.10",7.2,0.4,153.5
Reggie Wayne,IND,0,0,0,87.9,"1,172.00",6.2,0.6,153.2
Steve Smith (CAR),CAR,4,33.3,0.1,71.8,"1,110.90",5.9,0.9,148.4
Eric Decker,DEN,0,0,0,71.3,964,8.9,0.8,148.3
Torrey Smith,BAL,3.8,27.7,0.1,61.6,"1,026.10",7.2,0.5,147.9
Wes Welker,DEN,0.7,5.3,0,87,"1,063.10",6.8,0.1,147.3
Antonio Brown,PIT,6.2,40.7,0,79.1,"1,061.90",6.2,1.3,145
Jordy Nelson,GB,0,0,0,65.4,977.6,7.7,0.3,143.4
Danny Amendola,NE,0.7,7,0,90.5,"1,039.10",6.7,1,142.9
Hakeem Nicks,NYG,0,0,0,68.2,"1,001.60",7.1,0.5,141.8
Cecil Shorts,JAC,0,0,0,67.1,"1,048.90",6.2,0.6,141
Mike Wallace,MIA,3.3,30.7,0,64.3,992.5,6.8,1,140.9
James Jones,GB,0,0,0,67.5,900.7,8.4,0.8,139
Ty Hilton,IND,5,26.7,0,62.4,918.1,6.9,0.1,135.8
DeSean Jackson,PHI,10.3,63.2,0.1,63.9,958.9,5.8,1.3,135
Stevie Johnson,BUF,0,0,0,71.7,960.4,6.4,1,132.7
