Chase Utley,2B,8.24,4100
Paul Goldschmidt,1B,10.92,5700
Robinson Cano,2B,10.61,5800
Miguel Cabrera,3B,10.36,7200
Andrew McCutchen,CF,10.23,5100
Alfonso Soriano,LF,10.43,4500
Edwin Encarnacion,1B,10.26,5100
Yasiel Puig,RF/CF,10.43,4700
Troy Tulowitzki,SS,10.27,4900
Mike Trout,CF/LF,10.36,5500
Nate McLouth,LF,10.46,3700
Howie Kendrick,2B,10.65,3800
Shin-Soo Choo,CF/RF,10.15,4600
Adam Jones,CF,10.25,4800
Corey Dickerson,LF,10.46,3800
Will Venable,RF/CF,10.08,4100
Chris Davis,1B,10.05,5700
Josmil Pinto,C,9.93,2700
Michael Cuddyer,RF,9.71,5200
Chris Iannetta,C,9.38,3400
Adam Dunn,1B/DH,9.45,0
James Loney,1B,9.74,4100
Ben Zobrist,2B/RF,9.76,4100
Joey Votto,1B,9.5,4500
Jose Reyes,SS,9.65,4600
Todd Helton,1B,9.07,3800
Jonathan Lucroy,C,9.38,3600
Angel Pagan,CF,9.71,3500
Bryce Harper,LF/CF,9.49,4500
Evan Longoria,3B,9.45,4800
Mike Carp,LF/1B,9.2,3800
Dustin Pedroia,2B,9.48,4900
Asdrubal Cabrera,SS,9.27,0
Jose Altuve,2B,9.6,4400
Chris Young,CF/LF,9.05,4000
Mark Trumbo,1B/RF,9.48,5000
Denard Span,CF,9.29,3900
Manny Machado,3B,9.53,4300
Carlos Ruiz,C,9.41,3400
Alexei Ramirez,SS,9.39,0
Coco Crisp,CF/LF,9.28,5300
Giancarlo Stanton,RF,8.99,4300
A.J. Pierzynski,C,8.8,4000
Jay Bruce,RF/CF,9.15,3800
Eric Young Jr.,LF/CF,9.38,0
Alex Rios,RF/CF,9.21,5000
Nick Markakis,RF,9.05,4000
Wilson Ramos,C,8.8,3800
Jonathan Villar,SS,9.33,2900
Alberto Callaspo,3B,8.77,3900
Torii Hunter,RF,9.18,3900
Jimmy Rollins,SS,9.21,3400
Chris Carter,LF/1B,8.77,3800
Carlos Beltran,RF,9.05,3900
Jean Segura,SS,9.25,3400
Yoenis Cespedes,LF/CF,9,5500
Dioner Navarro,C,9.14,3100
Ryan Zimmerman,3B,8.99,4600
Abraham Almonte,LF,9.1,2300
Brandon Phillips,2B,9.11,3900
Adrian Beltre,3B,8.77,5000
Curtis Granderson,CF,8.89,4300
Alex Rodriguez,3B,9.03,4500
Jed Lowrie,SS/2B,8.73,4500
Christian Yelich,LF,8.86,2800
Elvis Andrus,SS,8.85,4600
Wil Myers,RF,8.89,3800
Pedro Alvarez,3B,8.65,3800
Shane Victorino,RF/CF,9.08,4400
Michael Young,3B,8.73,3200
Justin Upton,LF/RF,8.9,4900
David DeJesus,CF/RF,8.92,3800
Moises Sierra,RF,8.65,3400
Ryan Sweeney,CF/LF,8.66,2800
Carlos Gomez,CF,8.59,3800
Carlos Santana,C/1B,8.63,0
Michael Bourn,CF,9.02,0
Yadier Molina,C,8.73,3700
Salvador Perez,C,8.73,3200
Kyle Seager,3B/2B,8.62,3400
Jayson Werth,RF,8.79,4400
Eric Hosmer,1B,8.71,3600
Mike Moustakas,3B,8.56,3100
Josh Donaldson,3B,8.72,4900
J.J. Hardy,SS,8.63,3800
Michael Brantley,LF/CF,8.41,0
Kelly Johnson,LF/2B,8.63,3600
Justin Ruggiano,CF/LF,8.69,3500
Evan Gattis,C/LF,8.48,4200
Nate Freiman,1B,8.46,2300
Andrelton Simmons,SS,8.33,3600
Adam LaRoche,1B,8.46,4200
DJ LeMahieu,2B/3B,8.71,3600
Jason Kipnis,2B,8.54,0
Luis Valbuena,3B,8.52,3300
Darin Ruf,RF/1B,8.48,3300
Austin Jackson,CF,8.58,4100
Chris Johnson,3B/1B,8.4,4000
Juan Lagares,CF,8.66,2800
Aaron Hill,2B,8.37,4700
Ian Desmond,SS,8.3,4300
Nick Franklin,2B,8.09,2900
Matt Dominguez,3B,8.42,3400
Stephen Drew,SS,8.02,3400
Ryan Flaherty,2B/3B,8.36,3400
Danny Valencia,3B,8.38,3600
Brian McCann,C,8.35,3300
David Murphy,LF/RF,7.96,3700
Daniel Nava,RF/LF,8.11,4200
Buster Posey,C,8.22,3600
Cody Asche,3B,8.31,3300
Starlin Castro,SS,8.48,3200
Jarrod Saltalamacchia,C,7.99,3400
Trevor Crowe,RF/CF,8.55,2700
Anthony Rizzo,1B,8.23,3600
Andy Dirks,LF,8.16,3800
Matt Carpenter,2B/3B,8.34,4100
Adam Eaton,CF,8.45,3900
Munenori Kawasaki,SS/2B,8.38,3200
Josh Hamilton,RF,8.38,4000
Jose Tabata,RF,8.44,3300
Hunter Pence,RF/CF,8.25,3600
Jordan Danks,CF/RF,8.47,0
Jon Jay,CF,8.21,3600
Brad Miller,SS,8.44,3300
David Ortiz,DH,10.87,5100
Yunel Escobar,SS,8.02,3500
Brian Bogusevic,LF/CF,8.24,2000
Alex Avila,C,7.94,3600
Ian Kinsler,2B,8.17,4600
Scott Van Slyke,LF/RF,8.01,2900
Desmond Jennings,CF/LF,8.07,4700
Matt Holliday,LF,8.11,4600
Ichiro Suzuki,RF,8.18,3800
Prince Fielder,1B,7.99,4700
Nick Swisher,1B/RF,8.11,0
Daniel Murphy,2B/1B,8.2,4100
Brian Dozier,2B/SS,8.11,3600
Cesar Hernandez,2B,8.27,2100
Justin Morneau,1B,8.04,4000
Russell Martin,C,7.76,3400
Charlie Blackmon,LF/CF,7.98,3700
Garrett Jones,1B/RF,7.73,3700
Derek Norris,C,7.7,3600
Andrew Brown,RF/LF,7.95,2800
Jose Molina,C,7.9,2900
Jordan Schafer,CF/LF,8.09,2900
Erick Aybar,SS,8.29,3700
Wilin Rosario,C,7.91,4400
Miguel Montero,C,7.75,3700
Victor Martinez,DH/1B,7.9,3700
Mitch Moreland,1B/RF,7.6,3700
Nate Schierholtz,RF,7.75,3400
Neil Walker,2B/3B,7.87,3400
Kole Calhoun,RF/LF,7.86,3200
Alex Gordon,LF,7.92,4400
Didi Gregorius,SS,7.62,4000
Eduardo Nunez,SS,7.65,3900
Drew Stubbs,RF/CF,7.69,0
Brett Lawrie,3B,7.53,3700
J.P. Arencibia,C,7.43,3500
Omar Infante,2B,7.51,3300
Clint Barmes,SS,7.42,3000
Conor Gillaspie,3B,7.45,0
Ryan Ludwick,LF,7.52,3200
Jack Hannahan,3B,7.31,2600
Sean Halton,1B,7.41,2000
Freddie Freeman,1B,7.69,4300
Mike Zunino,C,7.37,0
Billy Butler,DH/1B,7.61,3600
Leonys Martin,CF,7.25,4300
Zack Cozart,SS,7.44,3200
Alexi Amarista,CF/2B,7.74,3300
Jedd Gyorko,2B/3B,7.56,4400
Mike Aviles,SS/3B,7.35,0
Norichika Aoki,RF/CF,7.57,3600
Ryan Raburn,RF/LF,7.34,0
