Ian Kinsler,2B,2.78,3400
Paul Goldschmidt,1B,4.13,3800
Howie Kendrick,2B,3.7,2300
Robinson Cano,2B,3.93,4100
Corey Dickerson,LF,3.65,3000
Nate McLouth,LF,3.7,3500
Alfonso Soriano,LF,3.76,4100
Yasiel Puig,RF/CF,3.73,4500
Mike Trout,CF/LF,3.72,5500
Miguel Cabrera,3B,3.79,5600
Troy Tulowitzki,SS,3.73,3600
Edwin Encarnacion,1B,3.75,4900
Adam Jones,CF,3.67,4200
Andrew McCutchen,CF,3.76,4900
Shin-Soo Choo,CF/RF,3.67,4900
Will Venable,RF/CF,3.6,3800
Chris Davis,1B,3.6,4400
Josmil Pinto,C,3.54,3100
Ben Zobrist,2B/RF,3.44,3500
James Loney,1B,3.44,2700
Angel Pagan,CF,3.35,3500
Michael Cuddyer,RF,3.5,3600
Jose Reyes,SS,3.36,4100
Jose Altuve,2B,3.3,3200
Manny Machado,3B,3.27,3800
Joey Votto,1B,3.41,3800
Bryce Harper,LF/CF,3.35,4500
Dustin Pedroia,2B,3.33,3400
Mark Trumbo,1B/RF,3.28,3500
Adam Dunn,1B/DH,3.45,2800
Evan Longoria,3B,3.34,3800
Carlos Ruiz,C,3.24,3000
Alexei Ramirez,SS,3.24,3200
Jonathan Lucroy,C,3.35,3600
Eric Young Jr.,LF/CF,3.21,0
Jonathan Villar,SS,3.19,3300
Denard Span,CF,3.27,3700
Coco Crisp,CF/LF,3.24,3900
Asdrubal Cabrera,SS,3.3,2600
Jean Segura,SS,3.15,2600
Jimmy Rollins,SS,3.17,2500
Alex Rios,RF/CF,3.21,4300
Mike Carp,LF/1B,3.34,2900
Torii Hunter,RF,3.17,3200
Jay Bruce,RF/CF,3.22,3600
Dioner Navarro,C,3.14,3100
Brandon Phillips,2B,3.11,3400
Abraham Almonte,LF,3.13,3000
Shane Victorino,RF/CF,3.07,4700
Todd Helton,1B,3.36,2800
Nick Markakis,RF,3.21,2600
Carlos Beltran,RF,3.16,3900
Chris Young,CF/LF,3.28,2600
Alex Rodriguez,3B,3.09,3700
Michael Bourn,CF,3.02,2400
Yoenis Cespedes,LF/CF,3.15,3400
Giancarlo Stanton,RF,3.23,3800
Ryan Zimmerman,3B,3.14,4500
David DeJesus,CF/RF,3.05,2500
Justin Upton,LF/RF,3.05,3400
Curtis Granderson,CF,3.09,3100
Wil Myers,RF,3.08,3600
Christian Yelich,LF,3.09,3600
Elvis Andrus,SS,3.08,4000
Wilson Ramos,C,3.19,4200
A.J. Pierzynski,C,3.22,2800
Jayson Werth,RF,3,5000
Alberto Callaspo,3B,3.18,2300
Adrian Beltre,3B,3.11,4100
Chris Carter,LF/1B,3.16,3300
Michael Young,3B,3.06,2500
Salvador Perez,C,3.01,3600
Yadier Molina,C,3.01,3600
Jed Lowrie,SS/2B,3.09,3400
Josh Donaldson,3B,2.98,4100
Eric Hosmer,1B,2.99,3900
DJ LeMahieu,2B/3B,2.93,2800
Justin Ruggiano,CF/LF,2.96,3400
Juan Lagares,CF,2.89,2300
Ryan Sweeney,CF/LF,3.03,3400
Pedro Alvarez,3B,3.07,3200
Moises Sierra,RF,3.04,2800
J.J. Hardy,SS,2.98,3300
Kelly Johnson,LF/2B,2.96,2700
Carlos Santana,C/1B,3.02,4000
Kyle Seager,3B/2B,3,3800
Carlos Gomez,CF,3.03,3200
Austin Jackson,CF,2.91,3500
Mike Moustakas,3B,2.98,2200
Trevor Crowe,RF/CF,2.82,2600
Jason Kipnis,2B,2.93,3700
Luis Valbuena,3B,2.93,3000
Darin Ruf,RF/1B,2.92,3400
Starlin Castro,SS,2.83,2200
Evan Gattis,C/LF,2.96,3400
Jordan Danks,CF/RF,2.79,2200
Nate Freiman,1B,2.96,2300
Adam LaRoche,1B,2.94,3100
Adam Eaton,CF,2.81,3500
Brad Miller,SS,2.79,3200
Jose Tabata,RF,2.8,2300
Matt Dominguez,3B,2.88,2700
Michael Brantley,LF/CF,2.96,2800
Chris Johnson,3B/1B,2.91,2900
Danny Valencia,3B,2.86,2900
Munenori Kawasaki,SS/2B,2.8,2300
Josh Hamilton,RF,2.8,3700
Aaron Hill,2B,2.89,3500
Ryan Flaherty,2B/3B,2.86,3200
Brian McCann,C,2.86,3000
Matt Carpenter,2B/3B,2.81,4400
Andrelton Simmons,SS,2.95,3400
Cody Asche,3B,2.83,3700
Ian Desmond,SS,2.88,3900
Erick Aybar,SS,2.65,2900
Cesar Hernandez,2B,2.73,2600
Hunter Pence,RF/CF,2.8,3700
Chase Utley,2B,2.79,3400
Brian Bogusevic,LF/CF,2.78,2900
Anthony Rizzo,1B,2.82,2600
Buster Posey,C,2.83,4000
Jon Jay,CF,2.79,3200
Daniel Murphy,2B/1B,2.73,3300
Ichiro Suzuki,RF,2.75,2400
David Ortiz,DH,4.06,4200
Andy Dirks,LF,2.82,3000
Daniel Nava,RF/LF,2.85,3100
Brian Dozier,2B/SS,2.73,3700
Nick Swisher,1B/RF,2.74,3100
Matt Holliday,LF,2.76,3600
Nick Franklin,2B,2.88,2900
Jordan Schafer,CF/LF,2.65,3300
Desmond Jennings,CF/LF,2.77,3100
Justin Morneau,1B,2.72,2700
Stephen Drew,SS,2.87,3400
Yunel Escobar,SS,2.79,2700
Scott Van Slyke,LF/RF,2.77,2300
Jarrod Saltalamacchia,C,2.83,3100
Prince Fielder,1B,2.75,3500
Charlie Blackmon,LF/CF,2.7,2400
David Murphy,LF/RF,2.85,2200
Andrew Brown,RF/LF,2.66,2600
Alex Avila,C,2.78,2900
Alex Gordon,LF,2.6,4300
Wilin Rosario,C,2.65,3700
Jose Molina,C,2.65,2200
Victor Martinez,DH/1B,2.65,3600
Neil Walker,2B/3B,2.61,2700
Kole Calhoun,RF/LF,2.6,3600
Russell Martin,C,2.71,2600
Miguel Montero,C,2.65,3000
Nate Schierholtz,RF,2.61,2800
Alexi Amarista,CF/2B,2.48,2200
Garrett Jones,1B/RF,2.68,2300
Derek Norris,C,2.67,2500
Drew Stubbs,RF/CF,2.58,2200
Freddie Freeman,1B,2.5,4000
Eduardo Nunez,SS,2.58,3300
Didi Gregorius,SS,2.6,2600
Billy Butler,DH/1B,2.49,3500
Emilio Bonifacio,2B/CF,2.43,2900
Mitch Moreland,1B/RF,2.63,2800
Norichika Aoki,RF/CF,2.47,2800
Jedd Gyorko,2B/3B,2.47,2700
Adeiny Hechavarria,SS/3B,2.42,2400
Brett Lawrie,3B,2.54,3200
Ryan Ludwick,LF,2.51,2700
Kendrys Morales,1B/RF,2.42,2800
Omar Infante,2B,2.51,3200
Conor Gillaspie,3B,2.51,2400
Zack Cozart,SS,2.49,2600
J.P. Arencibia,C,2.54,2200
Clint Barmes,SS,2.51,2200
Sean Halton,1B,2.51,3000
Michael Saunders,CF/RF,2.44,2700
Alcides Escobar,SS,2.45,2200
Mike Zunino,C,2.5,0
Mike Aviles,SS/3B,2.47,2700
Ryan Raburn,RF/LF,2.45,3800
Alex Presley,LF/RF,2.28,2800
Jack Hannahan,3B,2.51,2200
L.J. Hoes,RF/CF,2.38,2800
Leonys Martin,CF,2.49,3400
Kevin Frandsen,2B/1B,2.36,2600
Eric Chavez,3B,2.29,3000
Collin Cowgill,CF/LF,2.32,2200
David Lough,RF/CF,2.37,2400
Nick Punto,SS/2B,2.32,2700
Jarrod Dyson,CF,2.43,3300
Logan Schafer,LF/CF,2.42,2900
Chase Headley,3B,2.29,2700
Aramis Ramirez,3B,2.38,3600
Anthony Gose,LF/CF,2.39,2800
Adam Lind,1B,2.25,3400
Lucas Duda,LF/1B,2.41,2700
David Freese,3B,2.41,2700
Jose Iglesias,SS/3B,2.35,2300
Will Middlebrooks,3B,2.38,4000
A.J. Ellis,C,2.34,2600
Ed Lucas,3B/2B,2.27,2400
Dustin Ackley,2B,2.25,2900
Juan Uribe,3B,2.23,3600
Andre Ethier,RF/CF,2.28,3800
Gerardo Parra,RF/CF,2.27,2800
Avisail Garcia,CF/RF,2.18,2600
Marco Scutaro,2B,2.14,2200
Colby Rasmus,CF,2.17,3300
Nolan Arenado,3B,2.22,2900
Martin Prado,3B/2B,2.19,3600
Elliot Johnson,2B/SS,2.18,2400
Daniel Descalso,2B/SS,2.2,2200
Chris Stewart,C,2.24,2300
Devin Mesoraco,C,2.13,2200
Freddy Galvis,2B,2.15,2400
Paul Konerko,1B,2.14,2500
Brandon Laird,1B/3B,2.04,2200
Trevor Plouffe,3B,2.04,3200
Oswaldo Arcia,LF/RF,2.05,2200
Lyle Overbay,1B,2.04,2600
Andrew Romine,SS/3B,1.95,2400
Brandon Barnes,CF/RF,2.09,2900
Ronny Cedeno,SS,2.01,2700
Matt Adams,1B,2.07,2700
Ruben Tejada,SS,2.07,2200
Travis d'Arnaud,C,2.04,2200
Pablo Sandoval,3B,1.93,3800
Jackie Bradley,LF/CF,2.05,2600
Steve Lombardozzi,2B/LF,2.03,2500
Nick Hundley,C,1.96,2600
Placido Polanco,3B/2B,1.81,2200
Dayan Viciedo,LF,1.97,3000
Chris Parmelee,RF/1B,1.87,2300
Scooter Gennett,2B/SS,1.86,3100
Clete Thomas,CF/LF,1.91,2200
Juan Perez,CF,1.93,2300
Mark Ellis,2B,1.88,2200
Brett Pill,1B/LF,1.84,2900
Donovan Solano,2B/LF,1.87,2800
Mark Kotsay,LF/RF,1.79,2200
Darwin Barney,2B,1.77,2200
Kurt Suzuki,C,1.71,2300
Darin Mastroianni,RF/CF,1.63,2600
