Aaron Rodgers,QB,22.93,9400
Drew Brees,QB,22.40,9600
Tom Brady,QB,21.16,8700
Cam Newton,QB,20.79,9000
Peyton Manning,QB,20.10,9800
Matt Ryan,QB,18.21,8900
Andrew Luck,QB,18.08,8600
Robert Griffin III,QB,17.77,8800
Colin Kaepernick,QB,17.74,9200
Michael Vick,QB,17.08,8100
Tony Romo,QB,16.95,8200
Matt Schaub,QB,16.58,6800
Terrelle Pryor,QB,16.08,6500
Matthew Stafford,QB,15.91,8500
Joe Flacco,QB,15.12,7400
Josh Freeman,QB,15.10,7200
Eli Manning,QB,15.06,7800
Jay Cutler,QB,14.99,7800
E.J. Manuel,QB,14.98,6500
Ben Roethlisberger,QB,14.94,7500
Russell Wilson,QB,14.57,8100
Philip Rivers,QB,14.33,6900
Carson Palmer,QB,13.95,6900
Alex Smith,QB,13.79,6600
Ryan Tannehill,QB,13.78,6600
Sam Bradford,QB,13.52,7000
Andy Dalton,QB,13.25,7700
Geno Smith,QB,12.76,6500
Chad Henne,QB,11.63,5000
Jake Locker,QB,9.78,5800
Brandon Weeden,QB,9.43,5200
Christian Ponder,QB,9.07,5500
Matt Flynn,QB,1.84,6000
Mike Glennon,QB,1.73,5000
Kirk Cousins,QB,1.58,5000
Josh McCown,QB,1.46,5000
Charlie Whitehurst,QB,1.44,5000
Drew Stanton,QB,1.36,5000
Matt Hasselbeck,QB,1.35,5000
Ryan Fitzpatrick,QB,1.33,5000
Dominique Davis,QB,1.31,5000
Seneca Wallace,QB,1.26,5000
Matt Cassel,QB,1.19,5000
David Garrard,QB,1.17,0
Chase Daniel,QB,1.09,5000
Nick Foles,QB,1.01,5000
Tyrod Taylor,QB,0.67,5000
Bruce Gradkowski,QB,0.63,5000
Colt McCoy,QB,0.61,5000
Shaun Hill,QB,0.58,5000
Matt Moore,QB,0.55,5000
Kyle Orton,QB,0.55,5000
Derek Anderson,QB,0.53,5000
Jason Campbell,QB,0.53,5000
Jeff Tuel,QB,0.52,5000
T.J. Yates,QB,0.48,5000
Brock Osweiler,QB,0.45,5000
Joe Webb,QB,0.22,4500
Luke McCown,QB,0.14,5000
Ryan Mallett,QB,0.13,5000
Brad Sorensen,QB,0.10,5000
B.J. Daniels,QB,0.09,5000
Landry Jones,QB,0.09,5000
Matt Barkley,QB,0.09,5000
Kellen Moore,QB,0.09,5000
Scott Tolzien,QB,0.09,0
Rex Grossman,QB,0.09,5000
Pat White,QB,0.09,5000
Sean Renfree,QB,0.09,5000
Zac Dysert,QB,0.08,5000
Ryan Nassib,QB,0.08,5000
Pat Devlin,QB,0.08,5000
Curtis Painter,QB,0.08,5000
Dan Orlovsky,QB,0.05,5000
Kellen Clemens,QB,0.01,5000
Blaine Gabbert,QB,0.00,5000
Tarvaris Jackson,QB,0.00,5000
Mark Sanchez,QB,0.00,5000
Josh Johnson,QB,-0.02,5000
Adrian Peterson,RB,17.97,10000
Arian Foster,RB,16.84,8700
Doug Martin,RB,16.17,9100
Jamaal Charles,RB,14.15,9100
Ray Rice,RB,13.91,8700
LeSean McCoy,RB,13.78,8600
Alfred Morris,RB,13.56,8500
Trent Richardson,RB,13.28,8200
DeMarco Murray,RB,13.04,7600
C.J. Spiller,RB,12.85,8500
Marshawn Lynch,RB,12.44,8300
Maurice Jones-Drew,RB,11.80,7500
Matt Forte,RB,11.47,8300
Darren McFadden,RB,11.32,7500
Stevan Ridley,RB,11.30,6800
Chris Johnson,RB,11.12,8300
Frank Gore,RB,10.38,6800
Ryan Mathews,RB,10.36,6500
