Mike Leake,P,11.8
R.A. Dickey,P,11.76
Anibal Sanchez,P,11.73
Patrick Corbin,P,11.66
Jose Quintana,P,11.6
Yusmeiro Petit,P,11.6
Marco Estrada,P,11.3
Jeff Locke,P,11.06
Ryan Dempster,P,10.8
Roy Halladay,P,10.5
Jeremy Hellickson,P,10.36
Sonny Gray,P,10.23
Tanner Roark,P,8.4
Joe Kelly,P,8.1
Jeff Samardzija,P,7.76
Zack Greinke,P,7.56
Eric Stults,P,7.4
Scott Feldman,P,7.33
Zack Wheeler,P,6.9
Andy Pettitte,P,6.8
Jordan Lyles,P,6.76
Mike Pelfrey,P,6.53
Corey Kluber,P,6.46
Juan Nicasio,P,6.03
Freddy Garcia,P,5.86
Alexi Ogando,P,5.56
Brian Flynn,P,5.3
Brandon Maurer,P,4.5
Garrett Richards,P,3.9
Ramon Hernandez,C,5.545
Kelly Shoppach,C,5.3925
Adam Moore,C,5.3
John Hester,C,4.5
Miguel Olivo,C,4.065
Travis dArnaud,C,3.4625
Taylor Teagarden,C,3.4225
Carlos Santana,C,3.2025
Hector Gimenez,C,3.045
Luke Montz,C,2.8625
Brett Hayes,C,2.85
Jose Lobaton,C,2.67
Jarrod Saltalamacchia,C,2.625
Kurt Suzuki,C,2.5725
Yan Gomes,C,2.3825
Russell Martin,C,2.3125
Robinson Chirinos,C,2.2875
Audry Perez,C,2.275
Carlos Ruiz,C,2.235
Derek Norris,C,2.0975
Corky Miller,C,2.0425
Alex Avila,C,1.9925
Miguel Montero,C,1.9775
Salvador Perez,C,1.975
Devin Mesoraco,C,1.94
Omir Santos,C,1.875
Mike Nickeas,C,1.85
Guillermo Quiroz,C,1.825
George Kottaras,C,1.76
Tony Sanchez,C,1.705
Josmil Pinto,C,1.645
Victor Martinez,C,1.635
Tuffy Gosewisch,C,1.625
Jason Castro,C,1.6175
Rene Rivera,C,1.6
Wilin Rosario,C,1.5675
Anthony Recker,C,1.505
Ryan Lavarnway,C,1.4925
Carlos Corporan,C,1.4825
John Baker,C,1.475
Nick Hundley,C,1.4675
A.J. Ellis,C,1.43
Geovany Soto,C,1.425
A.J. Pierzynski,C,1.4175
Jonathan Lucroy,C,1.3925
Chris Iannetta,C,1.3625
Martin Maldonado,C,1.3325
Josh Phegley,C,1.325
Humberto Quintero,C,1.2975
Buster Posey,C,1.2925
Henry Blanco,C,1.29
Welington Castillo,C,1.26
Cameron Rupp,C,1.25
Chris Gimenez,C,1.2
Ryan Doumit,C,1.1825
Yadier Molina,C,1.165
Rob Brantly,C,1.0675
David Ross,C,1.0525
Koyie Hill,C,1.045
Cody Clark,C,1.0375
Jesus Montero,C,1.03
Matt Wieters,C,0.975
Matt Pagnozzi,C,0.9675
Jesus Sucre,C,0.9625
Drew Butera,C,0.9575
Hank Conger,C,0.955
Eric Fryer,C,0.95
Steve Clevenger,C,0.9425
Yorvit Torrealba,C,0.865
Tony Cruz,C,0.855
Wil Nieves,C,0.8275
Ryan Hanigan,C,0.8175
Rob Johnson,C,0.8125
John Buck,C,0.805
Erik Kratz,C,0.7975
Josh Thole,C,0.7775
Bryan Holaday,C,0.75
Austin Romine,C,0.7375
Hector Sanchez,C,0.635
Chris Snyder,C,0.6225
