Miguel Cabrera,1B,3.7,5500,DET,MIN
Anthony Rizzo,1B,3.47,5900,CHC,NYM
Prince Fielder,1B,3.28,5100,TEX,KC
Matt Carpenter,3B,3.18,5600,STL,@ CLE
Shin-Soo Choo,OF,3.18,4600,TEX,KC
Kris Bryant,3B,3.17,4900,CHC,NYM
Michael Brantley,OF,3.11,5700,CLE,STL
Michael Cuddyer,OF,3.11,4800,NYM,@ CHC
Starling Marte,OF,3.11,5600,PIT,@ PHI
Adrian Beltre,3B,3.08,5100,TEX,KC
Neil Walker,2B,3.07,5000,PIT,@ PHI
Josh Harrison,3B,2.96,4800,PIT,@ PHI
Dexter Fowler,OF,2.92,4600,CHC,NYM
Jorge Soler,OF,2.87,4700,CHC,NYM
Pedro Alvarez,1B,2.84,4400,PIT,@ PHI
Yoenis Cespedes,OF,2.78,5100,DET,MIN
Chase Utley,2B,2.75,4300,PHI,PIT
Brandon Moss,OF,2.73,4800,CLE,STL
Gregory Polanco,OF,2.72,4600,PIT,@ PHI
Matt Adams,1B,2.7,4800,STL,@ CLE
Lucas Duda,1B,2.68,4900,NYM,@ CHC
Carlos Santana,1B,2.67,5100,CLE,STL
Jason Heyward,OF,2.67,5100,STL,@ CLE
Brian Dozier,2B,2.66,5400,MIN,@ DET
Lorenzo Cain,OF,2.66,4700,KC,@ TEX
Torii Hunter,OF,2.65,5000,MIN,@ DET
Ian Kinsler,2B,2.64,5000,DET,MIN
Eric Hosmer,1B,2.64,5300,KC,@ TEX
Jason Kipnis,2B,2.62,5100,CLE,STL
Alex Gordon,OF,2.59,5300,KC,@ TEX
J.D. Martinez,OF,2.55,5000,DET,MIN
Ben Revere,OF,2.54,4600,PHI,PIT
Ryan Howard,1B,2.54,4400,PHI,PIT
Curtis Granderson,OF,2.52,4400,NYM,@ CHC
Jhonny Peralta,SS,2.52,4600,STL,@ CLE
Joe Mauer,1B,2.51,4500,MIN,@ DET
Kendrys Morales,1B,2.51,4500,KC,@ TEX
Mike Moustakas,3B,2.49,4300,KC,@ TEX
Anthony Gose,OF,2.48,4000,DET,MIN
Daniel Murphy,3B,2.43,4400,NYM,@ CHC
Carlos Peguero,OF,2.42,3600,TEX,KC
Welington Castillo,C,2.42,3200,CHC,NYM
Trevor Plouffe,3B,2.41,4700,MIN,@ DET
Francisco Cervelli,C,2.37,3600,PIT,@ PHI
John Mayberry,OF,2.37,2900,NYM,@ CHC
Starlin Castro,SS,2.35,4800,CHC,NYM
Juan Lagares,OF,2.32,4200,NYM,@ CHC
Addison Russell,2B,2.31,3900,CHC,NYM
Alcides Escobar,SS,2.3,4500,KC,@ TEX
Yadier Molina,C,2.28,4300,STL,@ CLE
Kennys Vargas,1B,2.23,4500,MIN,@ DET
Salvador Perez,C,2.21,4400,KC,@ TEX
Jordy Mercer,SS,2.19,4000,PIT,@ PHI
Wilmer Flores,SS,2.18,4200,NYM,@ CHC
Carlos Ruiz,C,2.15,3500,PHI,PIT
Freddy Galvis,SS,2.12,3400,PHI,PIT
Kolten Wong,2B,2.1,5200,STL,@ CLE
Lonnie Chisenhall,3B,2.09,4200,CLE,STL
Jose Iglesias,SS,2.08,3700,DET,MIN
Grady Sizemore,OF,2.08,2900,PHI,PIT
