Paul Goldschmidt,1B,11.86,5300,ARI,@ PHI
AJ Pollock,OF,8.55,4100,ARI,@ PHI
Ender Inciarte,OF,8.24,3700,ARI,@ PHI
David Peralta,OF,8.23,3900,ARI,@ PHI
Chris Owings,2B,6.27,3600,ARI,@ PHI
Cliff Pennington,2B/SS,6.16,2600,ARI,@ PHI
Nick Ahmed,SS,5.12,2500,ARI,@ PHI
Tuffy Gosewisch,C,3.54,2500,ARI,@ PHI
Yasmany Tomas,OF,2.05,3800,ARI,@ PHI
Mark Trumbo,1B/OF,2.02,4300,ARI,@ PHI
Aaron Hill,2B/3B,1.61,3700,ARI,@ PHI
Jordan Pacheco,C/1B,1.46,2700,ARI,@ PHI
Freddie Freeman,1B,10.2,5400,ATL,@ MIA
Nick Markakis,OF,7.38,3800,ATL,@ MIA
Jace Peterson,2B/3B,7.34,3500,ATL,@ MIA
Philip Gosselin,2B/3B,6.65,2900,ATL,@ MIA
Andrelton Simmons,SS,6.56,4100,ATL,@ MIA
Cameron Maybin,OF,6.21,3100,ATL,@ MIA
Christian Bethancourt,C,4.57,3100,ATL,@ MIA
A.J. Pierzynski,C,1.99,3500,ATL,@ MIA
Jonny Gomes,OF,1.95,3300,ATL,@ MIA
Eric Young,OF,1.6,3600,ATL,@ MIA
Alberto Callaspo,2B/3B,1.44,2900,ATL,@ MIA
Adam Jones,OF,8.84,4500,BAL,LAA
Chris Davis,1B/3B,8.28,4100,BAL,LAA
Manny Machado,3B,8.23,4000,BAL,LAA
Alejandro de Aza,OF,7.11,3100,BAL,LAA
Delmon Young,OF,6.96,3000,BAL,LAA
Jimmy Paredes,3B/OF,6.94,4400,BAL,LAA
J.J. Hardy,SS,6.26,3300,BAL,LAA
Caleb Joseph,C,5.99,3100,BAL,LAA
Rey Navarro,2B/SS,4.71,2400,BAL,LAA
Steve Pearce,1B/OF,1.91,4200,BAL,LAA
David Lough,OF,1.72,2900,BAL,LAA
Travis Snider,OF,1.67,3800,BAL,LAA
Ryan Lavarnway,C/1B,1.37,2400,BAL,LAA
Hanley Ramirez,SS/OF,11.39,4200,BOS,@ SEA
David Ortiz,1B,9.5,3900,BOS,@ SEA
Mookie Betts,OF,9.07,4300,BOS,@ SEA
Mike Napoli,1B,8.92,3700,BOS,@ SEA
Dustin Pedroia,2B,8.51,3700,BOS,@ SEA
Pablo Sandoval,3B,7.91,4100,BOS,@ SEA
Shane Victorino,OF,7.81,3700,BOS,@ SEA
Xander Bogaerts,SS/3B,6.38,3100,BOS,@ SEA
Sandy Leon,C,4.29,2400,BOS,@ SEA
Daniel Nava,OF,1.71,3000,BOS,@ SEA
Brock Holt,3B/OF,1.7,2900,BOS,@ SEA
Blake Swihart,C,1.54,2900,BOS,@ SEA
Jackie Bradley,OF,1.33,2500,BOS,@ SEA
Jose Abreu,1B,10.48,4700,CHW,@ OAK
Melky Cabrera,OF,8.43,3900,CHW,@ OAK
Adam LaRoche,1B,8.13,3700,CHW,@ OAK
Adam Eaton,OF,7.63,3500,CHW,@ OAK
Avisail Garcia,OF,6.73,4300,CHW,@ OAK
Conor Gillaspie,3B,6.7,3100,CHW,@ OAK
Alexei Ramirez,SS,5.85,3800,CHW,@ OAK
Tyler Flowers,C,5.3,3200,CHW,@ OAK
Carlos Sanchez,2B/SS,4.84,0,CHW,@ OAK
Gordon Beckham,2B/3B,1.52,3000,CHW,@ OAK
J.B. Shuck,OF,1.46,2300,CHW,@ OAK
Geovany Soto,C,1.44,3100,CHW,@ OAK
Emilio Bonifacio,2B/OF,1.42,3800,CHW,@ OAK
Joey Votto,1B,9.41,3900,CIN,SF
Todd Frazier,1B/3B,9.03,4400,CIN,SF
Marlon Byrd,OF,8.09,4000,CIN,SF
Zack Cozart,SS,6.46,3200,CIN,SF
Billy Hamilton,OF,6.39,3900,CIN,SF
Brandon Phillips,2B,5.92,3800,CIN,SF
Kris Negron,2B/3B,5.43,2500,CIN,SF
Brayan Pena,C/1B,4.99,2700,CIN,SF
Devin Mesoraco,C,1.89,3700,CIN,SF
Jay Bruce,OF,1.56,3600,CIN,SF
Brennan Boesch,OF,1.52,2800,CIN,SF
Tucker Barnhart,C,1.35,2000,CIN,SF
Skip Schumaker,2B/OF,1.05,2400,CIN,SF
Michael Brantley,OF,11,5200,CLE,@ TEX
Carlos Santana,C/1B,10.57,5000,CLE,@ TEX
Brandon Moss,1B/OF,9.45,4500,CLE,@ TEX
Jason Kipnis,2B,8.93,5000,CLE,@ TEX
Ryan Raburn,OF,8.51,3400,CLE,@ TEX
Zach Walters,SS/3B,7.66,4000,CLE,@ TEX
Nick Swisher,1B/OF,7.41,3300,CLE,@ TEX
Jose Ramirez,2B/SS,5.71,3200,CLE,@ TEX
Brett Hayes,C,5.46,3300,CLE,@ TEX
Lonnie Chisenhall,3B,1.72,4000,CLE,@ TEX
Roberto Perez,C,1.64,2400,CLE,@ TEX
Michael Bourn,OF,1.64,3900,CLE,@ TEX
David Murphy,OF,1.53,3500,CLE,@ TEX
Troy Tulowitzki,SS,8.63,3600,COL,@ LAD
Corey Dickerson,OF,7.69,3800,COL,@ LAD
Nolan Arenado,3B,6.84,3600,COL,@ LAD
Carlos Gonzalez,OF,6.32,3300,COL,@ LAD
Justin Morneau,1B,5.86,3700,COL,@ LAD
Drew Stubbs,OF,5.81,3000,COL,@ LAD
Michael McKenry,C,5.32,2800,COL,@ LAD
DJ LeMahieu,2B/3B,4.15,2700,COL,@ LAD
Wilin Rosario,C/1B,1.8,3100,COL,@ LAD
Charlie Blackmon,OF,1.56,3600,COL,@ LAD
