Matt Ryan,QB,ATL,6,20.6,20.2,18.8,23.8,16.2,7.6,2.8,0,4,6,0,66.7,100
Matthew Stafford,QB,DET,7,20.7,22.1,26.3,26.3,14.4,11.9,4.5,0,4,6,0,57.1,85.7
Peyton Manning,QB,DEN,7,28.2,25.7,26.3,46.3,14.1,32.2,10.7,0,5,6,0,71.4,85.7
Drew Brees,QB,NO,6,23.2,18.5,17.5,32.8,14.9,17.9,7.7,0,3,5,0,50,83.3
Andrew Luck,QB,IND,7,19.5,19,30,30,9,21,6.8,0,2,5,0,28.6,71.4
Jay Cutler,QB,CHI,7,16.3,14.5,0.1,23,0.1,22.9,8,1,4,5,14.3,57.1,71.4
Aaron Rodgers,QB,GB,6,22,19,23.6,34.9,14.2,20.7,7.8,0,3,4,0,50,66.7
Mike Glennon,QB,TB,3,15,18.7,17.5,19.9,7.6,12.3,6.5,0,0,2,0,0,66.7
Brian Hoyer,QB,CLE,3,14.4,2.1,,21.6,2.1,19.5,10.7,1,1,2,33.3,33.3,66.7
Michael Vick,QB,PHI,5,20.5,12.1,,33.4,12.1,21.3,8.9,0,2,3,0,40,60
Terrelle Pryor,QB,OAK,5,17.3,17.8,15.6,21.9,10,11.8,4.6,0,1,3,0,20,60
Jake Locker,QB,TEN,5,18.3,22.9,,28.8,5.3,23.5,8.8,0,2,3,0,40,60
E.J. Manuel,QB,BUF,5,13.1,6.6,,19.7,6.6,13.2,6,0,0,3,0,0,60
Philip Rivers,QB,SD,7,20.5,16.9,15.8,29.9,11.4,18.5,7.1,0,4,4,0,57.1,57.1
Sam Bradford,QB,STL,7,17.5,17.2,13.3,27.6,8.7,18.9,6.3,0,3,4,0,42.9,57.1
Tony Romo,QB,DAL,7,19.7,22.2,14.9,41.9,9.8,32.1,10.4,0,2,4,0,28.6,57.1
Russell Wilson,QB,SEA,7,17.4,20.1,20.3,23.6,11.6,12,4.8,0,3,4,0,42.9,57.1
Alex Smith,QB,KC,7,16.4,11.7,17.4,25.2,8,17.2,6.3,0,2,4,0,28.6,57.1
Andy Dalton,QB,CIN,7,16.9,21.2,27.5,27.5,6.5,20.9,7.7,0,2,4,0,28.6,57.1
Robert Griffin III,QB,WAS,6,19.2,20.9,27.3,27.3,13.7,13.6,5.9,0,3,3,0,50,50
Matt Schaub,QB,HOU,6,14.3,5.7,7.4,24.8,3.9,20.9,9.2,1,3,3,16.7,50,50
Cam Newton,QB,CAR,6,19.4,18.4,14.8,30.7,9.8,20.9,9,0,2,3,0,33.3,50
Matt Cassel,QB,MIN,2,15.4,12.3,12.3,18.4,12.3,6.1,4.3,0,0,1,0,0,50
Thaddeus Lewis,QB,BUF,2,15.4,15.4,8.4,22.3,8.4,14,9.9,0,1,1,0,50,50
Colin Kaepernick,QB,SF,7,15.1,15.9,20.8,30.7,5,25.7,8.6,0,2,3,0,28.6,42.9
Tom Brady,QB,NE,7,13.5,10.1,8.1,20.4,6.9,13.6,4.9,0,1,3,0,14.3,42.9
Joe Flacco,QB,BAL,7,14.7,15.1,14,20.5,6.8,13.6,5,0,2,3,0,28.6,42.9
Geno Smith,QB,NYJ,7,15.8,16.8,21.5,26.6,6.8,19.8,7.9,0,3,3,0,42.9,42.9
Ryan Tannehill,QB,MIA,6,15.2,16.6,16.9,16.9,13.8,3.1,1.2,0,0,2,0,0,33.3
Ben Roethlisberger,QB,PIT,6,14.7,14.3,12.9,18.9,10.6,8.3,2.9,0,0,2,0,0,33.3
Ryan Fitzpatrick,QB,TEN,3,13,15.5,8.1,22.9,8.1,14.8,8.5,0,1,1,0,33.3,33.3
Christian Ponder,QB,MIN,3,15.4,,,22.7,9.6,13.1,6.7,0,1,1,0,33.3,33.3
Carson Palmer,QB,ARI,7,12.5,12.8,12.8,18.1,5.5,12.6,4.7,0,0,2,0,0,28.6
Eli Manning,QB,NYG,7,14.5,13.8,12.5,31.8,5.2,26.6,8.7,0,1,2,0,14.3,28.6
Brandon Weeden,QB,CLE,5,12.8,13.8,11,18.7,9.8,8.9,3.5,0,0,1,0,0,20
Nick Foles,QB,PHI,5,11.5,17.2,5.7,30,0,30,11.8,1,1,1,20,20,20
Chad Henne,QB,JAX,6,8.9,9.9,12.2,14.5,1.4,13.1,4.5,1,0,0,16.7,0,0
Josh Freeman,QB,TB,4,8.6,6.6,,11.4,6.6,4.8,2.1,0,0,0,0,0,0
Blaine Gabbert,QB,JAX,3,6.5,9.8,,9.8,4.4,5.4,2.9,0,0,0,0,0,0
Case Keenum,QB,HOU,1,13.8,13.8,,13.8,13.8,0,,0,0,0,0,0,0
Matt Flynn,QB,OAK,2,5.6,,,10.5,0.8,9.7,6.9,1,0,0,50,0,0
Josh McCown,QB,CHI,1,15.5,15.5,,15.5,15.5,0,,0,0,0,0,0,0
Tarvaris Jackson,QB,SEA,2,7.7,0,,15.4,0,15.4,10.9,1,0,0,50,0,0
Matt Barkley,QB,PHI,1,2.2,2.2,,2.2,2.2,0,,1,0,0,100,0,0
T.J. Yates,QB,HOU,3,0.8,1.3,1.9,1.9,0,1.9,1,3,0,0,100,0,0
Jeff Tuel,QB,BUF,1,2.2,2.2,,2.2,2.2,0,,1,0,0,100,0,0
Colt McCoy,QB,SF,2,-0.2,-0.3,,0,-0.3,0.3,0.2,1,0,0,50,0,0
Kellen Clemens,QB,STL,1,-1.2,-1.2,,-1.2,-1.2,0,,0,0,0,0,0,0
Curtis Painter,QB,NYG,1,-0.4,,,-0.4,-0.4,0,,0,0,0,0,0,0
Brock Osweiler,QB,DEN,1,0.7,,,0.7,0.7,0,,1,0,0,100,0,0
Jason Campbell,QB,CLE,2,0.1,,,0.2,0,0.2,0.2,2,0,0,100,0,0
Seneca Wallace,QB,GB,1,0,0,,0,0,0,,1,0,0,100,0,0
Kyle Orton,QB,DAL,1,0,,,0,0,0,,1,0,0,100,0,0
Matt Moore,QB,MIA,1,0,,,0,0,0,,1,0,0,100,0,0
Luke McCown,QB,NO,6,0,0,0,0,0,0,0,6,0,0,100,0,0
Landry Jones,QB,PIT,1,0,,,0,0,0,,1,0,0,100,0,0
Shaun Hill,QB,DET,1,0,0,,0,0,0,,1,0,0,100,0,0
Dominique Davis,QB,ATL,1,0,,,0,0,0,,1,0,0,100,0,0
Derek Anderson,QB,CAR,3,-0.1,-0.1,0,0,-0.1,0.1,0.1,1,0,0,33.3,0,0
Charlie Whitehurst,QB,SD,1,-0.3,-0.3,,-0.3,-0.3,0,,0,0,0,0,0,0
Chase Daniel,QB,KC,2,-0.2,,,-0.2,-0.2,0,0,0,0,0,0,0,0
Matt Hasselbeck,QB,IND,1,1.5,,,1.5,1.5,0,,1,0,0,100,0,0
Jamaal Charles,RB,KC,7,21.7,22,17.8,27.3,17.5,9.8,3.9,0,7,7,0,100,100
Shane Vereen,RB,NE,1,19.4,,,19.4,19.4,0,,0,1,1,0,100,100
Matt Forte,RB,CHI,7,19.1,19.2,29.9,29.9,13.5,16.4,5.5,0,5,7,0,71.4,100
Marshawn Lynch,RB,SEA,7,17.5,18.9,15.9,33,6.2,26.8,10.6,0,3,4,0,42.9,57.1
LeSean McCoy,RB,PHI,7,17.4,15.1,11.1,25.4,9.9,15.5,5.6,0,5,5,0,71.4,71.4
Knowshon Moreno,RB,DEN,7,17.2,22.6,12.4,31.9,5,26.9,9.7,0,3,5,0,42.9,71.4
Reggie Bush,RB,DET,6,17.1,13.9,10.9,27.1,8.4,18.7,8.6,0,3,3,0,50,50
Adrian Peterson,RB,MIN,6,16.9,8.2,6.6,31.1,6.6,24.5,10,0,3,3,0,50,50
Peyton Hillis,RB,NYG,1,16.6,16.6,,16.6,16.6,0,,0,1,1,0,100,100
DeMarco Murray,RB,DAL,6,14.8,11.7,12,27.8,9.9,17.9,6.7,0,2,2,0,33.3,33.3
Fred Jackson,RB,BUF,7,14.3,15.5,16.5,23.3,6.8,16.5,5,0,2,6,0,28.6,85.7
Arian Foster,RB,HOU,7,13.9,12.2,1.1,26.1,1.1,25,8.7,1,3,4,14.3,42.9,57.1
Frank Gore,RB,SF,7,13.6,15.9,23.4,23.4,3.5,19.9,6.4,1,2,4,14.3,28.6,57.1
Le'Veon Bell,RB,PIT,3,13.3,8.8,10.4,22.4,7.1,15.3,8.1,0,1,1,0,33.3,33.3
Ahmad Bradshaw,RB,IND,3,12.8,,,18.6,3.8,14.8,7.9,1,1,2,33.3,33.3,66.7
Danny Woodhead,RB,SD,7,12.6,14,15.6,23.1,2.6,20.5,6.4,1,1,3,14.3,14.3,42.9
Darren Sproles,RB,NO,6,12.1,7,8.3,27.7,5.6,22.1,8.2,0,1,2,0,16.7,33.3
Giovani Bernard,RB,CIN,7,12,11.1,8.4,19,3.5,15.5,6.6,1,3,3,14.3,42.9,42.9
Jacquizz Rodgers,RB,ATL,6,11.9,21,19.8,22.2,0.7,21.5,8.1,1,2,2,16.7,33.3,33.3
Alfred Morris,RB,WAS,6,11.2,11.8,9.5,14.1,7.1,7,2.7,0,0,3,0,0,50
Eddie Lacy,RB,GB,5,11,14.2,19.3,19.3,1,18.3,6.6,1,1,2,20,20,40
Steven Jackson,RB,ATL,2,11,,,14.7,7.3,7.4,5.2,0,0,1,0,0,50
Joique Bell,RB,DET,7,11,6,7.1,23.7,3.8,19.9,8.1,1,2,2,14.3,28.6,28.6
Pierre Thomas,RB,NO,6,10.8,17.1,8.5,25.6,6.3,19.3,7.4,0,1,1,0,16.7,16.7
James Starks,RB,GB,3,10.5,,,24.8,1.3,23.5,12.5,1,1,1,33.3,33.3,33.3
Chris Johnson,RB,TEN,7,10.4,14,19,19,4.1,14.9,5.3,0,1,2,0,14.3,28.6
Doug Martin,RB,TB,6,10.4,8.5,5.9,14.4,5.9,8.5,3.1,0,0,1,0,0,16.7
Ray Rice,RB,BAL,6,10.3,12.9,9.2,23.2,1.7,21.5,8.3,2,2,2,33.3,33.3,33.3
Darren McFadden,RB,OAK,5,9.9,9.8,9.8,15.7,2.9,12.8,5.2,1,0,2,20,0,40
DeAngelo Williams,RB,CAR,6,9.6,9.5,6.4,14.2,6.4,7.8,2.9,0,0,2,0,0,33.3
Stevan Ridley,RB,NE,6,9.4,17.9,12.3,23.5,2.6,20.9,7.8,2,1,2,33.3,16.7,33.3
Roy Helu,RB,WAS,6,9.3,16.4,23.1,23.1,0.7,22.4,8.6,2,1,2,33.3,16.7,33.3
Ryan Mathews,RB,SD,7,9.2,9.3,17,17,0.8,16.2,5.4,1,1,3,14.3,14.3,42.9
Bilal Powell,RB,NYJ,7,9.1,4.1,0.6,16.8,0.6,16.2,5.6,1,1,3,14.3,14.3,42.9
Jason Snelling,RB,ATL,6,8.7,6.1,10.8,19.1,1.4,17.7,7.1,3,1,2,50,16.7,33.3
Andre Ellington,RB,ARI,7,8.4,10.1,2.3,17.7,1.8,15.9,5.8,2,1,2,28.6,14.3,28.6
Rashard Mendenhall,RB,ARI,7,8,8.3,8.2,16.4,2.9,13.5,4.8,1,1,1,14.3,14.3,14.3
Maurice Jones-Drew,RB,JAX,7,7.8,10.2,6.6,14.4,3.3,11.1,4.6,2,0,2,28.6,0,28.6
Trent Richardson,RB,CLE,7,7.8,4.4,1.7,13.1,1.7,11.4,3.8,1,0,1,14.3,0,14.3
Brandon Bolden,RB,NE,5,7.6,8,10.8,12.5,1.7,10.8,4.7,2,0,1,40,0,20
Michael Tolbert,RB,CAR,6,7.6,10.6,9.6,17.7,0.9,16.8,5.8,1,1,1,16.7,16.7,16.7
C.J. Spiller,RB,BUF,7,7.5,7.5,2.2,14.9,1.5,13.4,5,2,0,2,28.6,0,28.6
Lamar Miller,RB,MIA,6,7.2,3.4,1.5,14.5,1.5,13,5.6,2,0,2,33.3,0,33.3
BenJarvus Green-Ellis,RB,CIN,7,7.1,7.9,2.4,12.7,1.3,11.4,4,2,0,1,28.6,0,14.3
Zac Stacy,RB,STL,5,7,11.5,16.7,16.7,0,16.7,7,2,1,1,40,20,20
Ben Tate,RB,HOU,7,6.8,6.6,6.5,11.6,3,8.6,3.3,2,0,0,28.6,0,0
Brandon Jacobs,RB,NYG,5,6.7,12.8,23.9,23.9,0.2,23.7,9.9,3,1,1,60,20,20
Chris Ogbonnaya,RB,CLE,7,6.6,6.9,1.5,18,1.2,16.8,6.7,4,1,2,57.1,14.3,28.6
Vick Ballard,RB,IND,1,6.3,,,6.3,6.3,0,,0,0,0,0,0,0
Daryl Richardson,RB,STL,6,5.9,3.3,2.3,12.1,2.3,9.8,4.3,3,0,1,50,0,16.7
Bernard Pierce,RB,BAL,7,5.9,3.8,2.7,14.2,1.4,12.8,5.1,3,0,1,42.9,0,14.3
Da'Rel Scott,RB,NYG,5,5.8,2.6,2.6,10.2,2.6,7.6,3.9,3,0,0,60,0,0
Ronnie Hillman,RB,DEN,7,5.7,4.5,1.1,14.3,0.3,14,4.7,2,0,1,28.6,0,14.3
Daniel Thomas,RB,MIA,6,5.5,4.3,2.2,10.2,1.1,9.1,3.5,2,0,0,33.3,0,0
Willis McGahee,RB,CLE,5,5.4,7.2,3.9,13.2,0.9,12.3,4.6,2,0,1,40,0,20
Donald Brown,RB,IND,7,5.4,7.8,8,11,0,11,3.9,3,0,0,42.9,0,0
Joseph Randle,RB,DAL,4,5.3,7,10.8,10.8,0,10.8,6.1,2,0,0,50,0,0
Marcel Reece,RB,OAK,6,5.1,4.3,1.4,12.5,0.3,12.2,4.8,3,0,1,50,0,16.7
Khiry Robinson,RB,NO,4,4.9,6.1,11.3,11.3,0.9,10.4,4.5,3,0,0,75,0,0
Rashad Jennings,RB,OAK,6,4.8,3.4,2.6,15.6,0.2,15.4,5.5,4,0,1,66.7,0,16.7
Kendall Hunter,RB,SF,7,4.7,3.5,0.6,12.3,-0.7,13,4.7,3,0,1,42.9,0,14.3
Mike Goodson,RB,NYJ,2,4.5,4.5,4.4,4.6,4.4,0.2,0.1,0,0,0,0,0,0
Isaiah Pead,RB,STL,3,4.2,0,,9.8,0,9.8,5,2,0,0,66.7,0,0
LaRod Stephens-Howling,RB,PIT,1,4,,,4,4,0,,1,0,0,100,0,0
Johnathan Franklin,RB,GB,5,3.9,0.5,0.6,18.1,0,18.1,7.9,4,1,1,80,20,20
Chris Ivory,RB,NYJ,6,3.7,5,10.7,10.7,0.5,10.2,3.8,4,0,0,66.7,0,0
Christine Michael,RB,SEA,1,3.7,,,3.7,3.7,0,,1,0,0,100,0,0
LeGarrette Blount,RB,NE,7,3.7,1.5,0.4,12.4,0.4,12,4.4,5,0,1,71.4,0,14.3
David Wilson,RB,NYG,5,3.7,7.6,,7.6,-2.1,9.7,4.1,2,0,0,40,0,0
Jackie Battle,RB,TEN,7,3.2,2.6,1.1,8.1,0,8.1,3.1,4,0,0,57.1,0,0
Ronnie Brown,RB,SD,7,3.2,2.1,1.4,6.6,0.3,6.3,2.6,4,0,0,57.1,0,0
Alfonso Smith,RB,ARI,7,2.9,2.2,5,9.9,-1.8,11.7,3.8,4,0,0,57.1,0,0
Jeffery Demps,RB,TB,2,2.5,2.3,2.3,2.7,2.3,0.4,0.3,2,0,0,100,0,0
Felix Jones,RB,PIT,6,2.5,3.1,2.4,3.8,0,3.8,1.6,6,0,0,100,0,0
Bryce Brown,RB,PHI,7,2.4,1.5,0.4,7,0.4,6.6,2.2,6,0,0,85.7,0,0
Stanley Havili,RB,IND,6,2.4,5.2,8.7,8.7,0,8.7,3.2,5,0,0,83.3,0,0
Bruce Miller,RB,SF,7,2.3,1.5,1.5,3.7,0.9,2.8,1.1,7,0,0,100,0,0
Anthony Dixon,RB,SF,7,2.3,3.1,0.8,7.2,-0.1,7.3,3.2,4,0,0,57.1,0,0
Vonta Leach,RB,BAL,7,2.3,0.6,1.8,8.7,0,8.7,3,6,0,0,85.7,0,0
Robert Turbin,RB,SEA,7,2.2,2.5,1.5,4.6,0.4,4.2,1.7,6,0,0,85.7,0,0
Justin Forsett,RB,JAX,7,2.2,2.3,3.4,4.9,0,4.9,1.8,6,0,0,85.7,0,0
Chris Polk,RB,PHI,6,2.1,0.2,0,12.2,0,12.2,5,5,0,1,83.3,0,16.7
Montee Ball,RB,DEN,7,2,0.5,0,4.1,0,4.1,1.5,6,0,0,85.7,0,0
Jordan Todman,RB,JAX,7,2,0.8,0.8,6.5,0,6.5,2.3,6,0,0,85.7,0,0
Bradie Ewing,RB,ATL,2,2,,,2,1.9,0.1,0.1,2,0,0,100,0,0
Justin Blackmon,WR,JAX,3,19,19,8.8,26,8.8,17.2,9,0,2,2,0,66.7,66.7
Julio Jones,WR,ATL,5,17.8,13.9,,29.7,13.8,15.9,6.7,0,2,5,0,40,100
Calvin Johnson,WR,DET,6,17,18,32,32,4,28,11.4,1,3,4,16.7,50,66.7
Wes Welker,WR,DEN,7,16.5,13.9,13.1,23.1,11.4,11.7,4.4,0,3,6,0,42.9,85.7
Jordy Nelson,WR,GB,6,16.4,14.2,12.7,22.5,10.7,11.8,4.8,0,3,5,0,50,83.3
A.J. Green,WR,CIN,7,16.2,17.5,24.5,32.7,7.1,25.6,9.7,0,3,4,0,42.9,57.1
Vincent Jackson,WR,TB,6,16.1,29.4,30.8,30.8,3.7,27.1,11.6,1,3,3,16.7,50,50
Dez Bryant,WR,DAL,7,16,16.1,15,27.1,4.2,22.9,9.2,0,3,4,0,42.9,57.1
Demaryius Thomas,WR,DEN,7,15.9,11.2,16.2,30.6,7.7,22.9,8.9,0,3,4,0,42.9,57.1
DeSean Jackson,WR,PHI,7,15.6,15.9,3.6,29.8,3.6,26.2,10.3,1,4,4,14.3,57.1,57.1
Brandon Marshall,WR,CHI,7,15.6,15.6,10.5,25.2,7.7,17.5,6.5,0,3,4,0,42.9,57.1
Antonio Brown,WR,PIT,6,15.3,10.7,8.3,36.1,8.3,27.8,10.6,0,1,3,0,16.7,50
Victor Cruz,WR,NYG,7,14.7,7.9,7.5,32.3,4,28.3,11,1,2,3,14.3,28.6,42.9
Josh Gordon,WR,CLE,5,14.5,11.9,3.1,27.8,3.1,24.7,9.3,1,3,3,20,60,60
Randall Cobb,WR,GB,5,14.4,10,7.3,23.3,7.3,16,7.4,0,2,3,0,40,60
Eric Decker,WR,DEN,7,14.2,15.9,25,25,4.2,20.8,7.7,0,2,4,0,28.6,57.1
Alshon Jeffery,WR,CHI,7,13.6,17.2,14.1,32.8,4.6,28.2,10.9,0,2,3,0,28.6,42.9
Pierre Garcon,WR,WAS,6,13.3,9.1,8.3,24.3,8.3,16,5.9,0,1,3,0,16.7,50
Denarius Moore,WR,OAK,6,12.7,16.8,16.7,21.4,0,21.4,7.6,1,3,4,16.7,50,66.7
Torrey Smith,WR,BAL,7,12.1,8.1,7.6,25.1,1.7,23.4,7.2,1,1,2,14.3,14.3,28.6
Reggie Wayne,WR,IND,7,12,10.1,7.5,19.6,7.1,12.5,5.1,0,2,2,0,28.6,28.6
Andre Johnson,WR,HOU,7,11.8,9.5,10.9,20.6,5.4,15.2,5.3,0,1,3,0,14.3,42.9
Julian Edelman,WR,NE,7,11.7,6.8,6.9,23.4,5.2,18.2,6.5,0,1,3,0,14.3,42.9
Larry Fitzgerald,WR,ARI,7,11.5,9.2,2.7,24,2.7,21.3,8.2,1,2,3,14.3,28.6,42.9
Brian Hartline,WR,MIA,6,11.3,9,8,21.9,4.9,17,5.9,0,1,2,0,16.7,33.3
