David Ortiz,DH,11.52,4500
Miguel Cabrera,3B,11.27,7200
Robinson Cano,2B,11.1,5400
Justin Upton,LF/RF,10.65,4800
Rajai Davis,RF/LF,10.55,4000
Adam LaRoche,1B,10.18,3600
Mike Trout,CF/LF,10.16,6000
Brett Gardner,CF,10.11,4700
Jean Segura,SS,10.1,3500
Paul Goldschmidt,1B,10.04,4300
Jose Reyes,SS,9.91,4700
Coco Crisp,CF/LF,9.9,5000
Yasiel Puig,RF/CF,9.87,4800
Bryce Harper,LF/CF,9.85,4200
Angel Pagan,CF,9.81,3500
Corey Dickerson,LF,9.76,3300
Michael Cuddyer,RF,9.75,4500
Shin-Soo Choo,CF/RF,9.68,5000
Eric Young Jr.,LF/CF,9.54,0
Ian Desmond,SS,9.51,3900
Jayson Werth,RF,9.5,3900
Jason Kipnis,2B,9.5,4100
Jimmy Rollins,SS,9.48,3800
Shane Victorino,RF/CF,9.46,3600
Chris Davis,1B,9.46,5500
Denard Span,CF,9.44,3700
Alfonso Soriano,LF,9.44,4300
Hanley Ramirez,SS,9.43,5100
Troy Tulowitzki,SS,9.43,4700
Luis Valbuena,3B,9.38,3900
Jose Altuve,2B,9.37,4500
Mike Napoli,1B/C,9.33,4400
Prince Fielder,1B,9.3,5000
Jay Bruce,RF/CF,9.3,4100
Chris Denorfia,RF,9.28,4300
Kyle Blanks,RF/1B,9.26,3700
Jonathan Lucroy,C,9.26,3500
Nate Schierholtz,RF,9.25,3800
A.J. Pierzynski,C,9.25,3600
J.B. Shuck,LF,9.25,3300
Manny Machado,3B,9.2,4200
Jonathan Villar,SS,9.19,2700
Salvador Perez,C,9.19,3200
Carlos Beltran,RF,9.16,4000
Ryan Zimmerman,3B,9.11,4200
Wilson Ramos,C,9.1,3400
Yoenis Cespedes,LF/CF,9.08,4900
Pedro Alvarez,3B,9.08,4200
Chase Headley,3B,9.07,4400
Carlos Gomez,CF,9.07,3600
Darin Ruf,RF/1B,9.04,3700
Carlos Ruiz,C,9.01,3900
Alex Rodriguez,3B,9,4200
Brian McCann,C,8.98,3300
Alex Rios,RF/CF,8.97,4700
Giancarlo Stanton,RF,8.95,4500
Jon Jay,CF,8.94,3500
Torii Hunter,RF,8.93,4100
Jordan Danks,CF/RF,8.93,2700
Evan Gattis,C/LF,8.89,3900
Matt Holliday,LF,8.87,4500
Curtis Granderson,CF,8.86,3900
Josh Donaldson,3B,8.85,4700
Starlin Castro,SS,8.84,3900
Ian Kinsler,2B,8.84,4100
Justin Maxwell,CF/RF,8.83,3000
Erick Aybar,SS,8.82,4100
David DeJesus,CF/RF,8.72,3200
Austin Jackson,CF,8.71,4500
Alex Gordon,LF,8.71,4300
Adrian Beltre,3B,8.7,4500
Alexei Ramirez,SS,8.7,3700
Omar Infante,2B,8.69,3800
Brett Lawrie,3B,8.66,3700
Josh Hamilton,RF,8.65,4100
Buster Posey,C,8.65,3800
Adam Jones,CF,8.64,5000
Mark Trumbo,1B/RF,8.64,5300
Matt Wieters,C,8.61,3600
Dustin Pedroia,2B,8.6,3800
Michael Bourn,CF,8.59,3400
Adam Dunn,1B/DH,8.56,3500
Ben Zobrist,2B/RF,8.55,3600
Brian Dozier,2B/SS,8.53,3700
Brandon Belt,1B,8.52,3400
Brian Bogusevic,LF/CF,8.52,2000
Wil Myers,RF,8.51,3500
Freddie Freeman,1B,8.5,4200
Elvis Andrus,SS,8.49,4300
Hunter Pence,RF/CF,8.49,3700
Lucas Duda,LF/1B,8.48,3600
Adam Lind,1B,8.47,3900
Jordan Schafer,CF/LF,8.46,3200
Scooter Gennett,2B/SS,8.42,2300
Brandon Moss,1B/RF,8.42,4300
Chris Carter,LF/1B,8.38,3900
Anthony Rizzo,1B,8.28,4300
Danny Valencia,3B,8.28,3400
Victor Martinez,DH/1B,8.28,3800
DJ LeMahieu,2B/3B,8.25,3300
Christian Yelich,LF,8.23,3100
Matt Carpenter,2B/3B,8.23,4200
Andrelton Simmons,SS,8.22,3800
Joey Votto,1B,8.2,4800
Brian Roberts,2B,8.18,3400
Jed Lowrie,SS/2B,8.17,4100
Stephen Vogt,C/LF,8.17,2500
Carl Crawford,LF,8.13,3500
Jedd Gyorko,2B/3B,8.12,3800
Clint Barmes,SS,8.1,3200
Carlos Santana,C/1B,8.1,4100
Daniel Murphy,2B/1B,8.1,4000
Brandon Phillips,2B,8.1,4200
Marlon Byrd,RF/CF,8.03,4000
Stephen Drew,SS,8.02,3000
Junior Lake,LF/CF,8.02,2800
Evan Longoria,3B,8.02,4000
James Loney,1B,8.01,3400
Aramis Ramirez,3B,8.01,4000
Justin Ruggiano,CF/LF,8,3900
Trevor Crowe,RF/CF,7.97,3100
Russell Martin,C,7.97,3600
Josh Willingham,LF,7.96,4100
Jose Tabata,RF,7.95,3600
J.J. Hardy,SS,7.93,3800
Eric Hosmer,1B,7.92,3500
Matt Dominguez,3B,7.92,3300
Charlie Blackmon,LF/CF,7.91,3100
Neil Walker,2B/3B,7.91,3800
Chris Johnson,3B/1B,7.9,3900
Mitch Moreland,1B/RF,7.89,3400
Kole Calhoun,RF/LF,7.88,3400
Adrian Gonzalez,1B,7.84,4100
Adam Eaton,CF,7.83,3100
Mike Aviles,SS/3B,7.83,3000
Matthew Joyce,RF/LF,7.83,3000
Elliot Johnson,2B/SS,7.8,2800
Nate McLouth,LF,7.8,3800
Norichika Aoki,RF/CF,7.79,3500
Alex Avila,C,7.76,3500
Billy Butler,DH/1B,7.76,3600
Cody Asche,3B,7.73,3900
Juan Lagares,CF,7.72,2700
Jose Iglesias,SS/3B,7.7,3200
Miguel Montero,C,7.69,2800
Michael Brantley,LF/CF,7.69,3600
Kevin Frandsen,2B/1B,7.68,3000
Lonnie Chisenhall,3B,7.64,3000
Logan Schafer,LF/CF,7.63,3100
Hank Conger,C,7.62,3300
Oswaldo Arcia,LF/RF,7.61,3300
Mike Morse,RF/LF,7.6,0
Trevor Plouffe,3B,7.6,3600
Juan Francisco,1B/3B,7.59,2900
Anthony Rendon,2B/3B,7.57,3000
Martin Prado,3B/2B,7.56,3400
Daniel Nava,RF/LF,7.55,3600
Yadier Molina,C,7.55,3700
Anthony Gose,LF/CF,7.51,2900
Emilio Bonifacio,2B/CF,7.51,3000
Todd Frazier,3B/1B,7.49,4100
Matt Den Dekker,CF,7.47,2100
Leonys Martin,CF,7.47,4100
David Ross,C,7.46,2800
Will Middlebrooks,3B,7.45,3400
A.J. Ellis,C,7.43,3000
Desmond Jennings,CF/LF,7.43,4000
Seth Smith,LF/RF,7.41,3800
Mark Reynolds,1B/3B,7.4,4500
Garrett Jones,1B/RF,7.39,4000
Alex Presley,LF/RF,7.39,3300
Justin Morneau,1B,7.38,4300
Lorenzo Cain,CF,7.37,3300
Eric Sogard,2B/3B,7.35,3500
David Murphy,LF/RF,7.32,3500
Chris Herrmann,C,7.32,2000
Todd Helton,1B,7.31,3600
Moises Sierra,RF,7.31,3100
Xavier Paul,LF,7.31,3000
Freddy Galvis,2B,7.28,3400
Grant Green,2B,7.22,2000
Zack Cozart,SS,7.21,3300
Adeiny Hechavarria,SS/3B,7.2,3200
Paul Konerko,1B,7.19,3800
L.J. Hoes,RF/CF,7.19,3300
Nick Hundley,C,7.19,3700
Daric Barton,1B,7.18,3300
Cesar Hernandez,2B,7.18,2500
Alcides Escobar,SS,7.13,3200
Gerardo Parra,RF/CF,7.13,3100
Ronny Cedeno,SS,7.12,3500
David Freese,3B,7.09,3600
Jesus Guzman,1B/LF,7.09,3400
John Mayberry,RF/CF,7.08,3400
Juan Uribe,3B,7.07,3300
Avisail Garcia,CF/RF,7.06,3100
Mark DeRosa,3B/2B,7.02,3200
Willie Bloomquist,SS/3B,7,2800
Wilin Rosario,C,7,4100
Leury Garcia,2B/SS,7,2700
Darwin Barney,2B,6.99,3400
Daniel Descalso,2B/SS,6.97,3000
Drew Stubbs,RF/CF,6.94,2900
Didi Gregorius,SS,6.91,3000
Andre Ethier,RF/CF,6.89,3200
Josh Phegley,C,6.86,2100
Pablo Sandoval,3B,6.85,4100
Jurickson Profar,2B/SS,6.83,3500
Jason Kubel,LF/RF,6.83,3300
Yunel Escobar,SS,6.81,2900
Marco Scutaro,2B,6.79,3300
Welington Castillo,C,6.73,3400
Juan Perez,CF,6.7,2000
Logan Morrison,1B/LF,6.66,3600
Brendan Ryan,SS/2B,6.65,0
Matt Adams,1B,6.6,3100
Placido Polanco,3B/2B,6.58,2300
Jose Lobaton,C,6.53,2700
Nolan Arenado,3B,6.51,3300
Yan Gomes,C,6.5,3100
Brandon Laird,1B/3B,6.5,2500
Eduardo Escobar,SS/3B,6.47,3200
Andrew Romine,SS/3B,6.47,2700
Lyle Overbay,1B,6.45,3600
Mark Ellis,2B,6.37,3300
Dayan Viciedo,LF,6.35,3500
Josh Satin,1B,6.32,2000
Ruben Tejada,SS,6.31,3200
Ryan Goins,SS/2B,6.29,2100
Ed Lucas,3B/2B,6.19,2800
Chris Stewart,C,6.19,3000
Pedro Florimon,SS/2B,6.18,3300
Brandon Barnes,CF/RF,6.17,2800
Devin Mesoraco,C,6.1,3100
Jackie Bradley,LF/CF,6.09,0
Chris Parmelee,RF/1B,6.02,2600
Travis d'Arnaud,C,5.91,2000
Jamey Carroll,2B/3B,5.85,2700
Matt Davidson,3B,5.46,2400
Joaquin Arias,3B/SS,5.36,2600
Josh Thole,C,5.21,2500
Cody Clark,C,4.48,2000
Koyie Hill,C,3.98,2000
Marcus Semien,SS/2B,3.95,2000
Felix Pie,LF/CF,3.87,2000
Yusmeiro Petit,RP,20.86,8500
Hyun-jin Ryu,SP,17.88,9100
Jose Fernandez,SP,17.29,10500
Sonny Gray,RP/SP,17.06,8100
Jeff Samardzija,SP/RP,16.68,9300
Alex Cobb,SP,16.64,8800
Cliff Lee,SP,16.44,11000
Anibal Sanchez,SP,16.21,9500
Brandon Maurer,SP,14.81,6900
Lance Lynn,SP,14.15,7900
A.J. Burnett,SP,14.13,8400
Scott Kazmir,SP,14.11,6900
Mike Minor,SP,14.03,9500
Matt Garza,SP,13.85,8200
Scott Feldman,SP/RP,13.67,7100
Zack Wheeler,SP,13.42,7500
James Shields,SP,13.4,9400
Dan Haren,SP,13.23,6300
Mike Leake,SP,12.7,6800
C.J. Wilson,SP,12.38,7600
Patrick Corbin,SP,12.27,8800
Ryan Dempster,SP,11.17,7600
R.A. Dickey,SP,11.16,8200
Andy Pettitte,SP,10.61,7400
Eric Stults,SP,10.37,6400
Marco Estrada,SP,10.11,8600
Mike Pelfrey,SP,9.33,5600
Juan Nicasio,SP,9.1,8200
Jose Quintana,SP/RP,9,6800
Brad Peacock,SP/RP,8.59,5500
Craig Kimbrel,RP,1.08,4200
Joaquin Benoit,RP,1,4200
Aroldis Chapman,RP,0.99,4200
Kenley Jansen,RP,0.97,4200
Sergio Romo,RP,0.96,4200
Grant Balfour,RP,0.96,4200
Joe Nathan,RP,0.95,4200
Fernando Rodney,RP,0.91,4200
Oliver Perez,RP/SP,0.84,4200
Jonathan Papelbon,RP,0.8,4200
Ernesto Frieri,RP,0.79,4200
Jim Johnson,RP,0.76,4200
Edward Mujica,RP,0.76,4200
Koji Uehara,RP,0.75,4200
Greg Holland,RP,0.75,4200
Jason Grilli,RP,0.74,4200
Chris Perez,RP,0.74,4200
Steve Cishek,RP,0.72,4200
Rafael Soriano,RP,0.7,4200
Casey Janssen,RP,0.69,4200
Huston Street,RP,0.68,4200
Jim Henderson,RP,0.67,4200
Kevin Gregg,RP,0.66,4200
Mariano Rivera,RP,0.63,4200
Rex Brothers,RP,0.63,4200
Glen Perkins,RP,0.61,4200
Brad Ziegler,RP,0.61,4200
Frank Francisco,RP,0.5,4200
Addison Reed,RP,0.45,4200
Josh Fields,RP,0.3,5800
