Peyton Manning,QB,22.21,10700
Aaron Rodgers,QB,22.14,10100
Tom Brady,QB,21.78,8300
Michael Vick,QB,21.66,8900
Colin Kaepernick,QB,20.96,8800
Robert Griffin III,QB,19.79,8900
Drew Brees,QB,19.44,9200
Matt Ryan,QB,19.41,9000
Matthew Stafford,QB,18.65,9100
Cam Newton,QB,18.04,8400
Russell Wilson,QB,17.96,8000
Sam Bradford,QB,17.45,7400
E.J. Manuel,QB,16.70,5200
Tony Romo,QB,15.80,7800
Andy Dalton,QB,15.56,7200
Philip Rivers,QB,15.36,8200
Josh Freeman,QB,15.08,6500
Jay Cutler,QB,15.02,7300
Geno Smith,QB,14.95,5400
Eli Manning,QB,14.83,8100
Andrew Luck,QB,14.13,8500
Matt Schaub,QB,14.08,7000
Carson Palmer,QB,13.36,7300
Ben Roethlisberger,QB,13.16,6500
Terrelle Pryor,QB,12.81,6000
Christian Ponder,QB,12.22,5300
Joe Flacco,QB,12.08,7000
Jake Locker,QB,11.53,5700
Ryan Tannehill,QB,10.73,6300
Brian Hoyer,QB,10.48,5000
Chad Henne,QB,8.50,5000
Matt Flynn,QB,1.79,5000
Kirk Cousins,QB,1.50,5000
Mike Glennon,QB,1.49,5000
Drew Stanton,QB,1.45,5000
Seneca Wallace,QB,1.38,5000
Charlie Whitehurst,QB,1.37,5000
Dominique Davis,QB,1.36,5000
Nick Foles,QB,1.33,6500
Ryan Fitzpatrick,QB,1.32,5000
Josh McCown,QB,1.31,5000
David Garrard,QB,1.24,0
Matt Hasselbeck,QB,1.18,5000
Matt Cassel,QB,1.15,5000
Chase Daniel,QB,1.14,5000
Bruce Gradkowski,QB,0.62,5000
Tyrod Taylor,QB,0.59,5000
Colt McCoy,QB,0.59,5000
Jason Campbell,QB,0.59,5000
Matt Moore,QB,0.58,5000
Shaun Hill,QB,0.57,5000
Kyle Orton,QB,0.56,5000
Derek Anderson,QB,0.55,5000
T.J. Yates,QB,0.52,5000
Brock Osweiler,QB,0.41,5000
Jeff Tuel,QB,0.34,5000
Joe Webb,QB,0.24,3000
Ryan Mallett,QB,0.14,5000
Luke McCown,QB,0.13,5000
Ryan Nassib,QB,0.10,5000
Kellen Moore,QB,0.10,0
Curtis Painter,QB,0.10,5000
Sean Renfree,QB,0.09,0
Zac Dysert,QB,0.09,0
Brad Sorensen,QB,0.09,0
Landry Jones,QB,0.09,5000
