Robinson Cano,2B,5.19,8646
Adrian Beltre,3B,4.56,9409
Yasiel Puig,RF/CF,4.55,8523
Alexei Ramirez,SS,4.52,6692
Michael Brantley,LF/CF,4.51,8132
A.J. Pierzynski,C,4.43,6719
Ian Kinsler,2B,4.41,8956
Wil Myers,RF,4.36,7703
Justin Upton,LF/RF,4.32,7573
Alex Rios,RF/CF,4.28,9661
Jonathan Lucroy,C,4.21,7921
James Loney,1B,4.19,6242
Alfonso Soriano,LF,4.18,7369
Ben Zobrist,2B/RF,4.17,6380
Alejandro De Aza,CF/LF,4.15,7695
Jose Reyes,SS,4.13,7713
Angel Pagan,CF,4.05,8062
Josh Hamilton,RF,4.04,7498
Salvador Perez,C,4.02,7055
Jimmy Rollins,SS,4.02,7367
Eric Young Jr.,LF/CF,4.01,7373
J.B. Shuck,LF,4.01,5818
Josmil Pinto,C,3.99,7447
Elvis Andrus,SS,3.99,8982
Daniel Murphy,2B/1B,3.97,8665
Jason Kipnis,2B,3.9,6529
Nick Markakis,RF,3.87,6481
Jeff Baker,3B/LF,3.87,7011
Carl Crawford,LF,3.87,6758
Kelly Johnson,LF/2B,3.86,4014
Mark Trumbo,1B/RF,3.85,6330
Hunter Pence,RF/CF,3.83,7877
Andrelton Simmons,SS,3.82,7960
Alex Gordon,LF,3.81,8236
Jordan Danks,CF/RF,3.81,5661
Adam Jones,CF,3.8,8265
Danny Valencia,3B,3.8,7817
J.J. Hardy,SS,3.79,6386
Vernon Wells,LF,3.79,4850
Domonic Brown,LF,3.76,8154
Freddie Freeman,1B,3.75,10472
Asdrubal Cabrera,SS,3.69,7498
Brian Dozier,2B/SS,3.69,6783
Brian McCann,C,3.67,8076
Justin Maxwell,CF/RF,3.66,7531
Emilio Bonifacio,2B/CF,3.65,6729
Billy Butler,DH/1B,3.64,6657
Carlos Ruiz,C,3.63,5555
Michael Young,3B,3.63,6204
Craig Gentry,CF,3.63,7947
Evan Longoria,3B,3.63,7865
David Wright,3B,3.61,9924
Norichika Aoki,RF/CF,3.6,7962
Chase Utley,2B,3.59,9492
Adam Eaton,CF,3.58,9030
Erick Aybar,SS,3.57,5414
Mitch Moreland,1B/RF,3.57,6979
Will Venable,RF/CF,3.56,6289
Brian Roberts,2B,3.55,7062
Paul Goldschmidt,1B,3.53,13417
Lonnie Chisenhall,3B,3.5,4471
Chris Denorfia,RF,3.49,5429
Conor Gillaspie,3B,3.47,6642
Ryan Doumit,C/RF,3.46,7479
Eduardo Nunez,SS,3.46,5245
Kole Calhoun,RF/LF,3.45,8042
Jedd Gyorko,2B/3B,3.45,5859
Chris Iannetta,C,3.43,3695
David DeJesus,CF/RF,3.43,7503
Brandon Belt,1B,3.42,6396
Munenori Kawasaki,SS/2B,3.41,5352
Buster Posey,C,3.39,7347
Chris Johnson,3B/1B,3.38,6847
Yuniesky Betancourt,3B/1B,3.38,4910
Alex Rodriguez,3B,3.37,6036
Eric Hosmer,1B,3.37,8498
Mike Moustakas,3B,3.37,4677
Aaron Hill,2B,3.34,7097
Lucas Duda,LF/1B,3.34,6487
Brett Lawrie,3B,3.33,5062
Carlos Gomez,CF,3.32,7424
Matt Wieters,C,3.31,6818
Martin Prado,3B/2B,3.3,7575
Jarrod Dyson,CF,3.29,7598
Drew Stubbs,RF/CF,3.29,6237
Matt Kemp,CF,3.28,7709
Pablo Sandoval,3B,3.23,6161
Matt Davidson,3B,3.23,7545
Curtis Granderson,CF,3.23,6665
Matthew Joyce,RF/LF,3.21,6276
Evan Gattis,C/LF,3.2,6869
Darin Ruf,RF/1B,3.2,7004
A.J. Ellis,C,3.15,5719
Anthony Gose,LF/CF,3.13,4787
Carlos Santana,C/1B,3.12,7546
Jason Giambi,DH,3.11,6774
Moises Sierra,RF,3.1,3925
J.P. Arencibia,C,3.1,3231
Brandon Crawford,SS,3.07,4856
Kevin Frandsen,2B/1B,3.06,5047
Avisail Garcia,CF/RF,3.06,7764
Leonys Martin,CF,3.05,7852
Grant Green,2B,3.01,4388
Caleb Gindl,LF,2.99,7243
Jose Molina,C,2.98,3705
Kyle Blanks,RF/1B,2.97,3686
Elliot Johnson,2B/SS,2.97,4970
Trevor Plouffe,3B,2.95,4659
Alex Presley,LF/RF,2.94,4182
Chase Headley,3B,2.93,5087
Miguel Montero,C,2.92,4437
Alcides Escobar,SS,2.89,6134
Juan Francisco,1B/3B,2.89,2896
B.J. Upton,CF,2.86,3500
Nick Swisher,1B/RF,2.84,6593
Yan Gomes,C,2.81,6952
Freddy Galvis,2B,2.8,4735
Cesar Hernandez,2B,2.79,5238
Jerry Hairston,3B/LF,2.77,3353
Alexi Amarista,CF/2B,2.73,3863
Delmon Young,RF/LF,2.72,4239
