Peyton Manning,QB,23.53,20042
Aaron Rodgers,QB,21.60,14144
Cam Newton,QB,21.07,14840
Tony Romo,QB,20.59,16138
Andrew Luck,QB,20.54,13676
Tom Brady,QB,20.25,12266
Russell Wilson,QB,19.80,12796
Philip Rivers,QB,19.76,14553
Jamaal Charles,RB,18.49,14733
Adrian Peterson,RB,18.42,15189
Matt Ryan,QB,17.50,12771
Jay Cutler,QB,17.37,13863
Colin Kaepernick,QB,17.34,11674
Lesean McCoy,RB,17.18,14478
Matt Forte,RB,17.07,12888
Alex Smith,QB,16.69,10068
Eli Manning,QB,16.47,12505
Ben Roethlisberger,QB,16.47,11179
Matthew Stafford,QB,16.21,12964
Robert Griffin III,QB,15.61,13259
Joe Flacco,QB,15.59,10079
Brandon Marshall,WR,14.91,13261
Sam Bradford,QB,14.90,11025
Andy Dalton,QB,14.84,10674
Arian Foster,RB,14.80,11217
Nick Foles,QB,14.57,12066
Brandon Weeden,QB,14.41,10826
Marshawn Lynch,RB,14.25,12732
Doug Martin,RB,13.78,9778
Calvin Johnson,WR,13.49,11563
Ray Rice,RB,13.43,10196
Knowshon Moreno,RB,13.41,12167
Geno Smith,QB,13.39,9658
Victor Cruz,WR,13.38,13060
Ryan Tannehill,QB,13.15,11296
Dez Bryant,WR,12.80,14427
Alfred Morris,RB,12.47,9984
Ryan Fitzpatrick,QB,12.08,7637
Reggie Wayne,WR,12.04,10978
A.J. Green,WR,12.00,13094
Mike Glennon,QB,11.84,10212
Trent Richardson,RB,11.84,7714
Chad Henne,QB,11.75,0
DeSean Jackson,WR,11.64,13103
Wes Welker,WR,11.63,12211
Josh Freeman,QB,11.53,9548
Thaddeus Lewis,QB,11.36,9789
Case Keenum,QB,11.24,0
Jordy Nelson,WR,11.11,11368
Reggie Bush,RB,11.00,12761
Demaryius Thomas,WR,10.92,12775
Carson Palmer,QB,10.45,7549
Frank Gore,RB,10.36,10406
Eddie Lacy,RB,10.29,9772
Antonio Brown,WR,10.21,12088
Jason Witten,TE,10.21,10130
Brandon Jacobs,RB,10.20,7427
Josh Gordon,WR,10.15,10839
Fred Jackson,RB,10.14,8482
Vincent Jackson,WR,10.09,11328
Justin Blackmon,WR,10.02,0
Chris Johnson,RB,9.92,7058
Stevan Ridley,RB,9.85,7965
Maurice Jones-Drew,RB,9.85,0
Giovani Bernard,RB,9.84,9703
Eric Decker,WR,9.82,10563
Tony Gonzalez,TE,9.82,11282
Ryan Mathews,RB,9.81,8161
Torrey Smith,WR,9.71,9928
Zac Stacy,RB,9.62,6851
Anquan Boldin,WR,9.52,8330
Andre Johnson,WR,9.50,9964
Bilal Powell,RB,9.49,8052
Lamar Miller,RB,9.47,7196
