Peyton Manning,QB,22.02,10400
Aaron Rodgers,QB,21.16,9600
Matt Ryan,QB,19.69,9000
Drew Brees,QB,19.51,9700
Tom Brady,QB,19.13,8500
Cam Newton,QB,18.43,9000
Michael Vick,QB,18.36,8800
Russell Wilson,QB,18.26,8100
Matthew Stafford,QB,17.57,8500
Alex Smith,QB,17.54,6900
Philip Rivers,QB,17.17,7400
Terrelle Pryor,QB,16.11,6600
Tony Romo,QB,16.03,8200
Colin Kaepernick,QB,15.30,8500
Sam Bradford,QB,15.08,6800
Andrew Luck,QB,14.58,8600
Eli Manning,QB,14.47,6600
Joe Flacco,QB,13.48,6900
Ryan Tannehill,QB,13.37,6300
Jay Cutler,QB,12.94,7900
Geno Smith,QB,12.70,6700
E.J. Manuel,QB,12.60,6000
Matt Schaub,QB,12.21,6900
Andy Dalton,QB,11.98,7500
Ryan Fitzpatrick,QB,11.86,5500
Carson Palmer,QB,11.18,6600
Blaine Gabbert,QB,10.79,5300
Brian Hoyer,QB,10.00,6100
Chad Henne,QB,1.79,5300
Tyrod Taylor,QB,1.63,5000
Brandon Weeden,QB,1.59,5000
Chase Daniel,QB,1.59,5000
Nick Foles,QB,1.40,5000
T.J. Yates,QB,1.39,5000
Jeff Tuel,QB,1.38,5000
Tarvaris Jackson,QB,1.36,5000
Drew Stanton,QB,1.36,5000
Josh McCown,QB,1.35,5000
Charlie Whitehurst,QB,1.34,5000
Colt McCoy,QB,1.33,5000
Matt Simms,QB,1.32,0
Seneca Wallace,QB,1.32,5000
Kellen Clemens,QB,1.32,5000
Dominique Davis,QB,1.31,5000
Matt Moore,QB,1.24,5000
Matt Flynn,QB,1.11,5500
Matt Hasselbeck,QB,1.08,5000
Kyle Orton,QB,1.05,5000
Luke McCown,QB,1.01,5000
Brock Osweiler,QB,0.97,5000
Ryan Mallett,QB,0.94,5000
Curtis Painter,QB,0.90,5000
Josh Johnson,QB,0.81,5000
Derek Anderson,QB,0.64,5000
Shaun Hill,QB,0.62,5000
Matt Barkley,QB,0.10,0
Zac Dysert,QB,0.09,0
Brad Sorensen,QB,0.09,0
Ryan Nassib,QB,0.09,5000
Kellen Moore,QB,0.09,0
Brady Quinn,QB,0.06,0
Ryan Lindley,QB,0.05,5000
Pat Devlin,QB,0.04,0
Jason Campbell,QB,0.03,5000
Landry Jones,QB,0.00,0
Mike Glennon,QB,0.00,0
Kirk Cousins,QB,0.00,0
Robert Griffin III,QB,0.00,0
Ben Roethlisberger,QB,0.00,0
Jake Locker,QB,0.00,6900
Joe Webb,QB,0.00,0
Rex Grossman,QB,0.00,0
Dan Orlovsky,QB,0.00,0
Matt Cassel,QB,0.00,0
Bruce Gradkowski,QB,0.00,0
Christian Ponder,QB,0.00,0
Marshawn Lynch,RB,17.51,8600
Arian Foster,RB,16.81,8600
Lesean McCoy,RB,16.74,8800
Jamaal Charles,RB,16.19,9300
Matt Forte,RB,14.50,8600
Ray Rice,RB,13.19,7600
Trent Richardson,RB,12.47,8000
