Matt Ryan,QB,20.77,9500
Tom Brady,QB,20.09,9200
Aaron Rodgers,QB,19.61,9700
Andrew Luck,QB,19.52,8700
Robert Griffin III,QB,19.36,8600
Drew Brees,QB,18.92,9600
Cam Newton,QB,18.79,8400
Tony Romo,QB,18.74,8400
Matthew Stafford,QB,18.67,9000
Peyton Manning,QB,18.21,8600
Ben Roethlisberger,QB,17.49,7000
Colin Kaepernick,QB,16.65,8700
Russell Wilson,QB,16.28,8400
Eli Manning,QB,15.88,7400
Matt Schaub,QB,14.91,6700
Alex Smith,QB,13.98,6400
Josh Freeman,QB,13.76,6700
Terrelle Pryor,QB,13.71,5000
Christian Ponder,QB,13.57,5500
Carson Palmer,QB,13.03,6600
Sam Bradford,QB,12.49,6000
Michael Vick,QB,12.39,7000
Ryan Tannehill,QB,12.37,6400
Joe Flacco,QB,11.98,6600
Philip Rivers,QB,11.87,6900
Geno Smith,QB,11.69,5200
Andy Dalton,QB,11.47,6600
Blaine Gabbert,QB,11.19,5300
Jake Locker,QB,11.13,5500
Brandon Weeden,QB,10.95,5800
Jeff Tuel,QB,9.39,0
Jay Cutler,QB,9.30,6300
E.J. Manuel,QB,8.85,5200
Matt Flynn,QB,1.84,5100
Mike Glennon,QB,1.50,5000
Matt Cassel,QB,1.49,5000
Matt Hasselbeck,QB,1.49,5000
David Garrard,QB,1.39,0
Drew Stanton,QB,1.38,5000
Kirk Cousins,QB,1.37,5000
Josh McCown,QB,1.31,5000
Ryan Fitzpatrick,QB,1.27,5000
Charlie Whitehurst,QB,1.25,5000
Dominique Davis,QB,1.23,5000
Nick Foles,QB,1.19,5300
Chad Henne,QB,1.06,5300
Chase Daniel,QB,1.00,5000
Mark Sanchez,QB,0.81,5200
Jason Campbell,QB,0.64,5000
Matt Moore,QB,0.60,5000
Tyrod Taylor,QB,0.59,5000
Bruce Gradkowski,QB,0.59,5000
Shaun Hill,QB,0.59,5000
Colt McCoy,QB,0.57,5000
T.J. Yates,QB,0.56,5000
Kyle Orton,QB,0.54,5000
Derek Anderson,QB,0.52,5000
Brock Osweiler,QB,0.41,5000
Joe Webb,QB,0.24,3000
Ryan Mallett,QB,0.13,5000
Luke McCown,QB,0.12,5000
Kellen Moore,QB,0.10,0
Matt Barkley,QB,0.10,5000
B.J. Daniels,QB,0.09,0
Zac Dysert,QB,0.09,0
Landry Jones,QB,0.09,5000
Ryan Nassib,QB,0.09,5000
Pat Devlin,QB,0.09,0
Scott Tolzien,QB,0.09,0
Curtis Painter,QB,0.09,5000
Sean Renfree,QB,0.08,0
Brad Sorensen,QB,0.08,0
Rex Grossman,QB,0.08,0
Pat White,QB,0.08,5000
Dan Orlovsky,QB,0.05,5000
Kellen Clemens,QB,0.02,5000
Tarvaris Jackson,QB,0.00,5000
Josh Johnson,QB,-0.02,5000
Adrian Peterson,RB,21.16,8700
Jamaal Charles,RB,15.55,8600
Arian Foster,RB,15.28,8400
Lesean McCoy,RB,14.29,7200
Doug Martin,RB,13.51,8300
Stevan Ridley,RB,12.79,6200
Marshawn Lynch,RB,12.71,7000
Alfred Morris,RB,12.60,6300
Maurice Jones-Drew,RB,12.59,6500
Reggie Bush,RB,12.52,6800
Trent Richardson,RB,12.49,7500
Darren McFadden,RB,11.54,6100
Steven Jackson,RB,11.21,7200
Frank Gore,RB,11.12,5600
David Wilson,RB,11.03,5800
Ray Rice,RB,10.80,7400
Chris Johnson,RB,10.67,6000
C.J. Spiller,RB,10.50,7300
DeMarco Murray,RB,9.96,6100
Matt Forte,RB,9.76,7100
Chris Ivory,RB,9.09,4600
Darren Sproles,RB,8.68,6800
Montee Ball,RB,8.53,5000
Eddie Lacy,RB,8.32,4100
Isaac Redman,RB,8.27,3000
DeAngelo Williams,RB,7.99,3900
Rashard Mendenhall,RB,7.83,4600
Ahmad Bradshaw,RB,7.76,4900
BenJarvus Green-Ellis,RB,7.72,3600
Ryan Mathews,RB,7.52,4400
Lamar Miller,RB,7.48,5800
Mark Ingram,RB,6.91,3600
Shane Vereen,RB,6.61,5200
Donald Brown,RB,5.42,3000
Ronnie Hillman,RB,5.36,3300
Vick Ballard,RB,5.25,3400
Michael Bush,RB,5.24,3300
Daryl Richardson,RB,5.14,3500
Pierre Thomas,RB,5.11,4000
Daniel Thomas,RB,4.92,3300
Mikel Leshoure,RB,4.74,3100
Bernard Pierce,RB,4.65,3100
Bryce Brown,RB,4.58,3200
Knile Davis,RB,4.39,3000
Shonn Greene,RB,4.22,3100
Giovani Bernard,RB,4.20,3900
Dexter McCluster,RB,3.82,3000
Bilal Powell,RB,3.75,3300
Joique Bell,RB,3.74,3000
Danny Woodhead,RB,3.73,3500
Fred Jackson,RB,3.57,3300
Johnathan Franklin,RB,3.54,3100
Jacquizz Rodgers,RB,3.44,3800
Ryan Williams,RB,3.33,3000
LaRod Stephens-Howling,RB,3.25,3000
Ben Tate,RB,3.24,3000
Robert Turbin,RB,2.81,3000
Joseph Randle,RB,2.80,3300
Charles Clay,RB,2.77,3000
Zac Stacy,RB,2.76,3300
Justin Forsett,RB,2.70,3400
Kendall Hunter,RB,2.52,3000
Chris Ogbonnaya,RB,2.41,3000
Knowshon Moreno,RB,2.40,3000
Toby Gerhart,RB,2.16,3000
Rashad Jennings,RB,1.97,3000
Kenjon Barner,RB,1.83,3000
Mike James,RB,1.68,3000
Marcel Reece,RB,1.61,3000
Roy Helu,RB,1.52,3000
Stepfan Taylor,RB,1.51,3000
Andre Ellington,RB,1.51,3000
Mike Gillislee,RB,1.43,3000
Mike Tolbert,RB,1.39,3000
Felix Jones,RB,1.37,0
Da'Rel Scott,RB,1.37,3000
Evan Royster,RB,1.21,3000
Ronnie Brown,RB,1.14,3000
Christine Michael,RB,1.10,3300
Darrel Young,RB,1.06,3000
Brian Leonard,RB,1.04,3000
Chris Polk,RB,0.98,3000
Tashard Choice,RB,0.93,3000
Bradie Ewing,RB,0.85,3000
John Kuhn,RB,0.78,3000
Stanley Havili,RB,0.75,3000
Henry Hynoski,RB,0.67,3000
Armando Allen,RB,0.61,3000
Vonta Leach,RB,0.60,3000
Bruce Miller,RB,0.59,3000
Lawrence Vickers,RB,0.59,3000
Jason Snelling,RB,0.55,3000
Phillip Tanner,RB,0.52,3000
Greg Jones,RB,0.49,3000
Jed Collins,RB,0.34,3000
Anthony Sherman,RB,0.33,3000
Dorin Dickerson,RB,0.30,3000
